subject,z_pe_T2W10,z_l3_T2W10
CSO-16-9A-JSMAGU,-0.17529619135067942,-0.46380475399446713
CSO-16-9B-SJPAJI,-0.5866996916515318,-1.178006941579846
CSO-17-10A-YVGOCA,-0.5740469215725211,-0.5847276459027126
CSO-17-10B-EHECO,-0.764671692576602,1.125229432028523
CSO-17-10B-YCQUVE,1.0232627513834047,-0.5899642436036938
CSO-17-11A-DJAPA,-0.33209257985588925,-0.974205750658313
CSO-17-11A-JDAMO,-1.2907250283709188,-0.3078106307904965
CSO-17-11A-NPAHE,1.6628308290451217,-0.45903509005288257
CSO-17-11A-RLPAIG,-0.10847381922104943,1.7050122742181997
CSO-17-11A-SPUVA,-1.049250884014414,-0.4296793404420145
CSO-17-11B-CDBEBU,1.7593158629274064,0.123103991057846
CSO-17-11C-JDAAG,1.2435992858640441,-0.1456842633975965
CSO-17-11C-MAPAMA,0.4909465052297594,-0.07539917287474407
CSO-17-11C-MCAAG,0.7595138023361597,-0.07967446048591534
CSO-17-11C-SARJA,-0.2491054894711024,-0.03956378357035902
CSO-18-11A-ADBAHO,-0.3893047495118068,0.3563628488577534
CSO-18-11B-YLLRE,0.3698971680713445,1.0755741853427367
CSO-18-9B-MAMOLO,-0.09621081390570439,0.525108649045744
CSO-8-3A-AIPRBR,-1.3026132502499486,-0.7811735963692735
CSO-8-3A-DAPAVA,0.08431989128258402,1.8780217319984827
CSO-8-3A-KVPECO,2.946806995135962,-1.8413080388921546
CSO-8-4A-ARAGR,-1.3319404599985687,0.3805014455189396
CSO-8-4A-JRAAR,1.467198056055386,1.9278923561892276
CSO-9-2A-EXMOCO,0.1481817256732764,-0.7499409192179358
CSO-9-4A-AGAPE,0.6134823271329277,0.18311829085476117
CSO-9-4A-DKVIMO,-0.18402260292508915,-0.4757387881381942
CSO-9-4A-DSMOMU,0.6773350835065207,0.8732302381173442
CSO-9-4A-DVGATO,0.8461255113294711,-0.4288330922038823
CSO-9-4A-FAGIGA,0.902490049053629,-0.6502338924201806
CSO-9-4A-GSBRCO,-1.2478042878662825,0.0050843872102047365
CSO-9-4A-KEMOCO,-1.3243065628280988,-0.5558277288798733
CSO-9-4A-LCOMO,-0.68192238831599,-1.5388423347626887
CSO-9-4A-MLORO,0.6397472674042328,0.9064428115399324
CSO-9-4A-MPAME,0.9597399193518199,-2.1460221506906105
CSO-9-4A-NSARPA,-0.8415805726319027,1.6484373340061451
CSO-9-4A-SLOCA,0.7067817918994027,-0.8199249116634728
CSO-9-4A-YVDITR,-1.2580052669280095,-0.5468012302360443
