subject,lsc_T2W20,atd_T2W20,density_T2W20,diameter_T2W20,asp_T2W20
CDMS-8-4A-LGOPA,10.11842105263158,2.411914448640455,0.1546659846001951,7.552631578947368,3.34675058773356
CDMS-8-4C-JDBUTU,5.0,2.862823096443786,0.1806003552453856,5.896551724137931,2.749802113595217
CDMS-9-4A-ACDUTR,9.96551724137931,2.7360081095375213,0.1728840125391849,6.896551724137931,3.060143220538758
CDMS-9-4A-CARGA,11.601769911504425,2.4532798914891574,0.1571168470515028,7.31858407079646,3.269977747760701
CDMS-9-4A-CRAAG,10.0,2.568632091531251,0.1585562290184139,8.4,3.572846933645253
CDMS-9-4A-EROHI,9.76923076923077,2.257503770739065,0.1301398764634058,10.5,4.451554083171731
CDMS-9-4A-ILOSE,10.322981366459627,2.218491657649976,0.1345694177987507,9.695652173913045,4.07367300587163
CDMS-9-4A-TGAFR,9.04054054054054,2.362057071615895,0.1480714877773701,7.364864864864865,3.2626825722413955
CDMS-9-4C-SCAMO,9.93142857142857,2.2086639989329067,0.131914748625496,10.005714285714284,4.153496850439353
CDMS-9-5A-ABERO,8.026178010471204,2.605759084531797,0.1573993773684176,9.225130890052355,3.851615995987724
CDMS-9-5A-VVAAR,8.56,2.1870882352941177,0.1305130718954248,10.98,4.411534571723426
CDMS-9-5C-JDMADE,9.136986301369864,2.341820890632333,0.1382696040845241,9.34703196347032,3.9867152052497055
CDMS-9-5C-LVIZAC,8.21311475409836,2.591997488742908,0.1588237541950174,8.748633879781421,3.761691796626832
CDMS-9-5C-MLOGO,9.34862385321101,2.501196694113586,0.1582868606478968,8.01834862385321,3.5145971920512493
CDMS-9-5C-SCAAG,7.2,3.3482828282828283,0.2098316498316498,5.533333333333333,2.618003848003848
CDMS-XX-10A-VGILO,11.301724137931034,2.15105808808702,0.1257590180657865,9.78448275862069,4.160265934867595
CDMS-XX-5C-MPCAQU,10.179190751445086,2.353265264902463,0.1446999093257079,8.809248554913294,3.8059729917256897
CDMS-XX-6B-SPUCA,10.80225988700565,2.303094836370011,0.1382328898530294,9.186440677966102,3.927197255992449
CSO-10-4A-KCOMO,9.556701030927837,2.167596295164837,0.1282552624817474,10.371134020618555,4.304837425739248
CSO-10-4A-LRAVI,10.0,2.155968858131488,0.1255567913439886,10.647058823529411,4.391499618423221
CSO-10-4A-LSCAVA,9.56043956043956,2.229712141266763,0.1340288305709494,10.307692307692308,4.226703297326405
CSO-10-5A-ACAVA,8.024390243902438,2.3406792892266357,0.1480097593346102,9.329268292682928,3.888026250893426
CSO-10-5A-ARACA,10.533783783783784,2.586623161990809,0.1637294166705931,7.493243243243243,3.3057117996939978
CSO-10-5A-DABRZA,8.932203389830509,2.504839733952396,0.149810425533257,8.926553672316384,3.815037760181277
CSO-10-5A-GZAMA,12.012820512820513,2.352053257200316,0.147782446311858,8.217948717948717,3.528917216563084
CSO-10-5A-IPECA,10.232,2.1736339869281047,0.1280834537323701,10.016,4.21813230134159
CSO-10-5A-JANORO,9.0125,2.216380258834303,0.1314230489690048,10.7,4.387500644565273
CSO-10-5A-JBUVE,8.172727272727272,2.2158080808080807,0.12451785658442,11.872727272727271,4.777823245725723
CSO-10-5A-JJSEMO,8.642857142857142,2.467454802433794,0.149540492187551,7.452380952380952,3.366961462129529
CSO-10-5A-JLCARI,8.568627450980392,2.369653542663923,0.1410666346037863,10.03921568627451,4.137739186439332
CSO-10-5A-MAARAN,12.453488372093023,2.3574606974572774,0.1501616657396411,7.302325581395348,3.27254091857375
CSO-10-5A-RVMOIB,8.854922279792746,2.2301577532833248,0.1335066050781734,10.207253886010363,4.251263479921303
CSO-10-5A-SVHEES,9.027932960893857,2.354300207405695,0.1419271692422322,9.41899441340782,3.952485555399491
CSO-11-5A-MDVOSPE,9.785714285714286,2.3229811248508727,0.1419254356754356,9.835714285714284,4.150344515980849
CSO-11-5A-MTAGA,8.418367346938776,2.1809059646607825,0.1333971018521154,9.63265306122449,4.0214728709192284
CSO-11-6A-CAPAMU,9.926470588235292,2.351757134477723,0.1451998157231721,8.617647058823529,3.6933744120162806
CSO-11-6A-DSCACH,9.171052631578949,2.1947908988156666,0.1300709153609593,10.578947368421051,4.3155931021638
CSO-11-6A-EROMO,10.158536585365852,2.1836415253866925,0.1274639067963843,10.042682926829269,4.221421501436887
CSO-11-6A-FSOVRE,8.21830985915493,2.2988021883783447,0.137536687320296,9.232394366197184,3.918321549306375
CSO-11-6B-ANREVA,12.714285714285714,2.28562258236628,0.1390460946283275,7.775510204081633,3.4853434356198623
CSO-11-6B-DISEMO,5.739130434782608,2.073648689071357,0.1250360021964544,10.043478260869565,4.1764587172448255
CSO-11-6B-LHFDLACH,8.415584415584416,2.329729572481673,0.1382582919071198,10.441558441558442,4.294629599478117
CSO-11-6B-RJGIHE,10.847457627118644,2.359604915412493,0.143893654810903,8.474576271186441,3.6652913664379274
CSO-11-6B-SFLVA,8.581818181818182,2.235478312537136,0.1318775995246583,11.563636363636364,4.630349447594029
CSO-11-6B-VCOMA,9.21978021978022,2.269078785360298,0.1352840165444357,10.148351648351648,4.237662091723433
CSO-12-6A-DGISE,8.333333333333334,2.194313725490196,0.1314604730781201,8.366666666666667,3.779815299080005
CSO-12-6A-FJOVRE,8.308724832214764,2.508715830162731,0.1532188575121855,8.879194630872483,3.731196440967463
CSO-12-6B-GQULO,9.345911949685537,2.282452873102152,0.137404031626825,10.062893081761006,4.180925128519906
CSO-12-6B-LJHEFE,7.612440191387559,2.367730185503898,0.1438039368735444,10.277511961722489,4.21590957761466
CSO-12-6B-VPAMA,8.875,2.0972222222222223,0.1160990712074303,12.375,5.002450980392157
CSO-12-7A-DALRE,10.727272727272728,3.0844179810088903,0.2281281849463667,4.977272727272728,2.458114234250598
CSO-12-7A-ESALA,10.159574468085106,2.109763941037408,0.1215208181070113,11.22340425531915,4.5934096034830505
CSO-12-7A-IMERO,8.951724137931034,2.407269700099315,0.1503894325192499,9.06206896551724,3.8432403093863536
CSO-12-7A-JHEZA,9.467661691542288,2.374027781797756,0.1440511379065512,9.681592039800996,4.078084486345427
CSO-12-7A-LSARAR,8.6,2.140817239176372,0.1232104125950875,11.083333333333334,4.5051505507736165
CSO-12-7A-SCAHO,9.325842696629213,2.269720975396785,0.137280360707153,9.786516853932584,4.035006875272816
CSO-12-7B-DVAGRO,9.373015873015872,2.4155042838166088,0.1462986188218386,9.587301587301589,4.036934793751468
CSO-12-7B-SMUGU,9.516483516483516,2.329412021218744,0.1424889482420187,8.494505494505495,3.666579602972622
CSO-12-7B-SSARA,9.600985221674875,2.2592286870539557,0.1347497875784871,10.078817733990148,4.17527559071467
CSO-12-7B-VHOMA,9.582608695652176,2.2713814801282832,0.1370160753381913,10.034782608695652,4.158196501155177
CSO-12-8A-YTOME,9.771929824561404,2.304569745127021,0.1359207619880587,9.666666666666666,4.089218023194315
CSO-13-6A-ANASA,9.152173913043478,2.153417491138332,0.1284267387351584,10.717391304347826,4.349657685347213
CSO-13-6B-JETAVE,9.573170731707316,2.3055400312663585,0.1391610578733021,9.23780487804878,3.860129669972606
CSO-13-6B-LFMIES,7.142857142857143,2.087832722495206,0.1240594061511244,9.5,4.01279770910327
CSO-13-6B-LJMAHU,8.72549019607843,2.2475483451034357,0.131976230464666,8.980392156862745,3.714678260353001
CSO-13-7A-CAPAMU,9.95,2.3260311817034505,0.1453184235907588,9.314285714285717,3.848746146231772
CSO-13-7A-CDDITR,11.972972972972974,2.3289136825901533,0.1471501802384155,7.364864864864865,3.3285380556278388
CSO-13-7A-JJATFL,10.761904761904765,2.2363651015961943,0.1354665797943109,8.80952380952381,3.782243772452751
CSO-13-7A-KRAMA,8.777777777777779,2.3395783954607485,0.1453769542004836,8.333333333333334,3.601540316981493
CSO-13-7A-RXCHLU,11.05217391304348,2.5234362738710567,0.1611438987270189,7.660869565217391,3.355739526174309
CSO-13-7A-YAMEZA,9.271954674220964,2.2482070194243167,0.1349388007124875,10.06515580736544,4.201844889110388
CSO-13-8A-KIGAGU,6.841584158415841,2.278248097919036,0.1320603516991035,11.455445544554456,4.618988937219174
CSO-13-8A-MBUAN,4.9523809523809526,1.993824430356938,0.1187650498796009,11.523809523809524,4.518064397476162
CSO-13-8A-MGAAN,9.20472440944882,2.161317673913052,0.1257863642550754,10.791338582677165,4.430804514894676
CSO-13-8A-MGAHE,11.696969696969695,2.366042856595441,0.1468987291179804,7.833333333333333,3.472629847193596
CSO-13-8A-MJAGA,10.140243902439025,2.442674945212606,0.1511308295562241,8.21951219512195,3.55112137641068
CSO-13-8A-VHODU,11.46938775510204,2.3413819529365747,0.1417761951454375,8.829931972789115,3.854325875386405
CSO-13-8B-FCJISA,10.914634146341465,2.13707556193209,0.125673641300765,9.890243902439025,4.171975491095026
CSO-13-8B-JEMABE,9.058823529411764,2.620750155265726,0.1791772721703518,7.274509803921568,3.233917341789314
CSO-13-9B-DMLLLU,6.918367346938775,2.315432315204856,0.1403217446608487,9.591836734693878,4.000829232792018
CSO-14-7A-MVEBE,15.0,2.375,0.1583333333333333,6.0,2.9625000000000004
CSO-14-7B-EVEGO,9.724550898203592,2.213976894304474,0.1318747234321658,10.646706586826348,4.391837721940983
CSO-14-8A-AQUMA,9.008849557522124,2.338617421100502,0.147677539361558,8.955752212389381,3.7727341786439297
CSO-14-8A-MCIDOS,9.333333333333334,2.3770697167755994,0.1345238095238095,8.555555555555555,3.761391223155929
CSO-14-8A-SZARA,8.329113924050633,2.3953051002939314,0.1506429328097235,8.708860759493671,3.725989680047759
CSO-14-8B-JLLORA,10.144578313253012,2.4254882923203263,0.1548993863841489,8.55421686746988,3.603645415534147
CSO-14-9A-AEDCAGO,9.05,2.237473406151812,0.1361403888401759,9.5875,4.010595538792133
CSO-14-9A-HASACA,10.642276422764228,2.2477756242990705,0.1382675025618467,9.138211382113822,3.919826237441204
CSO-14-9A-JSMAAL,9.945054945054943,2.215858651152769,0.1342926914355485,9.87912087912088,4.100765947404603
CSO-14-9A-MARJA,9.849056603773583,2.1929782604865844,0.1288685586016037,10.471698113207546,4.281427976048719
CSO-14-9A-SORZU,10.388349514563108,2.554877304306202,0.1686468823390582,7.223300970873787,3.1859727017065684
CSO-14-9B-ERAGA,10.787878787878787,2.3688431031568284,0.1463566027291517,8.636363636363637,3.677198484732025
CSO-14-9B-MFEGA,10.1328125,2.260601037289916,0.1332352351998491,9.453125,3.9735256950705375
CSO-15-10A-LJRAGU,8.88950276243094,2.210104885222481,0.1320854588284415,9.58011049723757,4.022417809058077
