subject,nodes_T2W30,edges_T2W30,re_T2W30,l1_T2W30,l3_T2W30,lsc_T2W30,atd_T2W30
CSO-12-7B-SMUGU,22.80246913580247,28.876543209876544,1.7654320987654322,0.6790123456790124,0.3333333333333333,17.580246913580247,2.5461403496542068
CSO-12-7B-SSARA,23.76165803108808,29.0,1.1243523316062176,0.1295336787564766,0.7823834196891192,17.854922279792746,2.451955448121251
CSO-12-7B-VHOMA,23.73333333333333,29.0,0.6666666666666666,0.238095238095238,1.0952380952380951,18.39047619047619,2.4510538984824697
CSO-12-8A-YTOME,23.25,29.0,0.7403846153846154,0.5576923076923077,1.4615384615384617,18.76923076923077,2.5047281787331954
CSO-13-6A-ANASA,24.83333333333333,28.83333333333333,0.4080459770114942,0.160919540229885,0.7816091954022989,17.977011494252874,2.333545417415982
CSO-13-6B-JETAVE,22.194805194805195,28.649350649350648,2.2337662337662336,0.1883116883116883,0.9155844155844156,17.785714285714285,2.6106842087199515
CSO-13-6B-LFMIES,25.195652173913043,28.08695652173913,0.1304347826086956,0.0,0.1956521739130435,13.478260869565217,2.243785078955212
CSO-13-6B-LJMAHU,23.09756097560976,28.24390243902439,0.8780487804878049,1.4146341463414631,0.0,14.365853658536585,2.452475110608727
CSO-13-7A-CAPAMU,22.861538461538466,28.77692307692308,0.7230769230769231,0.2692307692307692,1.0076923076923077,18.77692307692308,2.5322102959529467
CSO-13-7A-CDDITR,22.625,29.0,0.46875,0.0,1.140625,19.140625,2.574218811080224
CSO-13-7A-JJATFL,23.28125,28.65625,1.46875,0.0,0.96875,19.1875,2.4669058794466405
CSO-13-7A-KRAMA,22.125,28.0,1.75,1.0,1.0,11.625,2.5329380764163374
CSO-13-7A-RXCHLU,20.504761904761907,29.0,2.857142857142857,0.0,0.1047619047619047,17.066666666666666,2.8586882695633538
