subject,pe_T2W40,lsc_T2W40,y_true,y_pred
CDMS-12-5A-SRIGO,-1.100139749215175,1.4778922924088949,7,5.935221777133542
CDMS-12-6A-FAROPA,-0.819228685783777,-0.35488162313045263,5,4.383358925025593
CDMS-12-6A-JGIGA,-1.3328650749374966,-1.0812617896795658,1,3.143342369322762
CDMS-12-6A-SROAL,0.7660532439670561,1.6760527471585467,10,7.9995752250654215
CDMS-12-6B-IJDAGA,2.3739087395498095,0.7047434667984787,10,8.6361214402881
CDMS-12-6B-SCLAG,1.9605382230355155,0.5124115249142364,14,8.030418981889568
CDMS-12-7C-CATRAR,-0.012726950548666315,1.4307147668747442,6,6.9754570502658995
CDMS-12-7C-DLOLO,-0.07189752987143534,1.3112959312652246,10,6.796867635333609
CDMS-12-7C-JSZAOR,0.360376290880681,-0.19509469177555258,5,5.722750833044953
CDMS-12-7C-MAROBE,-0.3269301733232064,-0.9729285454861473,2,4.257610515130466
CDMS-12-7C-VMAPA,-0.19518284077154877,0.24251174466884562,4,5.60479813783712
CDMS-12-7C-VQURA,0.09870500324808955,-0.4967707108582028,4,5.159403526329711
CDMS-13-6B-JDTAHE,-0.12208700073672218,0.2834340812014494,8,5.7188163144045525
CDMS-13-7C-MVEAR,1.7783217050644384,1.4572828173047894,9,8.793073756309045
CDMS-13-7C-RAIZAC,-0.6524649346599902,-1.7290649261662918,4,3.175939373113538
CDMS-13-7C-SSOSLO,1.6441537856578707,1.426663173149285,10,8.628286192746971
CDMS-14-10A-IMORTO,0.09944327427663166,-0.6021250298995625,6,5.054787478316889
CDMS-14-10A-JCVANI,0.3873979055246365,1.2662400149696569,10,7.211107154434112
CDMS-14-6B-KDCAHE,0.025008548787047294,0.4975685507508367,8,6.080046333477707
CDMS-15-10A-AMALOS,-0.03310055303080693,-0.6617534548133949,5,4.86261522609562
CDMS-15-10A-JJMACH,-0.5378359500578914,-2.124991516575803,1,2.894641767306128
CDMS-15-10A-MAALCA,1.7237798926464936,-0.9106179240923665,6,6.370631202493948
CDMS-15-10A-MAALRI,-0.6839287467826672,0.6536292726827299,5,5.527169759839887
CDMS-15-10A-SGOMO,0.40072989802742964,-0.7105158693330075,4,5.247683262634245
CDMS-15-10A-SHEGA,-0.43863700190072213,1.0330670818556005,7,6.151899313894701
CDMS-15-11B-JEMOLO,0.10741046843047568,-0.5038272055911565,6,5.161052496779141
CDMS-15-11B-VSAHO,-0.0557247124841102,-1.2189979742483819,4,4.282746547207332
