subject,re_T6W50,pe_T6W50,l3_T6W50,y_true,y_pred
CSO-16-9B-SJPAJI,0.13189184099935866,-0.033351845196097546,0.035289737350792404,10,8.252877352201676
CSO-17-10A-YVGOCA,0.197518100238077,-0.007829735388699965,-0.03920366922676357,12,8.269532314670233
CSO-17-10B-EHECO,0.10832898123967645,0.04083069708154462,0.3591482673777151,8,8.627355564746557
CSO-17-10B-YCQUVE,0.10241093315046426,-0.09865404071498973,0.016829292597548458,8,8.139633804080644
CSO-17-11A-DJAPA,0.1266799719469162,0.05477566928882196,0.11288424760099387,9,8.413387507884352
CSO-17-11A-JDAMO,-0.0338480662555444,0.029761560421831385,-0.025230828395273908,8,8.089730284818632
CSO-17-11A-NPAHE,0.2272569562569026,0.05305016832156919,0.08948453163356417,11,8.488839275259656
CSO-17-11A-RLPAIG,0.13974919536747463,-0.09368410939612573,0.023421557017763946,6,8.188534262036734
CSO-17-11A-SPUVA,-0.3397686266515776,0.08355846091217113,-0.3906973473039744,9,7.472140106004235
CSO-17-11B-CDBEBU,0.1851008460557352,0.06306045099378974,0.16696454276939743,7,8.534173458866542
CSO-17-11C-JDAAG,-0.2112732582714045,0.04235168941408487,0.023698163296447573,7,7.973824213486746
CSO-17-11C-MAPAMA,0.17838285379641508,0.058288182514855374,0.010065879017629734,8,8.365784534376521
CSO-17-11C-MCAAG,0.09449784155769234,0.07852862584069384,0.03071781158039793,7,8.322791898026404
CSO-17-11C-SARJA,0.18557147950902128,0.06880341518207253,0.0025308706994068954,10,8.375953384438121
CSO-18-11A-ADBAHO,0.17932213102890485,0.043966924552411794,0.1979652180384309,8,8.540301892667369
CSO-18-11B-YLLRE,0.12263670339099166,0.049721093796126124,0.1673422176994344,7,8.458747633934172
CSO-18-9B-MAMOLO,-0.1234874809793332,-0.20513092223476675,-0.3276062596930441,8,7.462822956140474
CSO-8-3A-AIPRBR,0.006876306210662211,0.05617944721989866,-0.08167241270074872,8,8.100430959777432
CSO-8-3A-DAPAVA,-0.08716772314393897,-0.19861510794610954,-0.050121734564388294,5,7.7831430533931805
CSO-8-3A-KVPECO,-0.057115770965389695,-0.2675637877680694,-0.0668985029800909,8,7.72746955733407
CSO-8-4A-ARAGR,0.1250072227418539,-0.11787825255775981,0.22845139508384044,9,8.354627984315552
CSO-8-4A-JRAAR,-0.698843132816007,0.09410193043903234,-0.4083213012479055,4,7.105985115422734
CSO-9-2A-EXMOCO,-0.22096762195432293,0.0661352942079217,-0.19458709616799455,2,7.769628195133222
CSO-9-4A-AGAPE,0.22172785293206568,0.038002599051692204,-0.006416119003387594,9,8.37236195202799
CSO-9-4A-DKVIMO,-0.09333624266428779,0.05288336161954782,0.0493831119099263,7,8.127977849912806
CSO-9-4A-DSMOMU,0.18154977461913355,0.049045680304523935,0.3401237406708858,12,8.689766814642162
CSO-9-4A-DVGATO,0.04554067886025276,0.07787698362910253,0.04027823327369639,7,8.282743514810672
CSO-9-4A-EGCAMO,-0.1313934828965175,-0.18913658732941724,-0.41246095816698874,5,7.386056590654693
CSO-9-4A-FAGIGA,0.1809916293923786,-0.036167045565399576,0.17138023140281558,9,8.435252434277412
CSO-9-4A-GSBRCO,-0.409499443473661,0.09576953597847371,-0.36671811602128784,9,7.438599595531139
CSO-9-4A-KEMOCO,-0.263876128972649,0.087993534364351,-0.35346890484240756,6,7.589696119596913
CSO-9-4A-LCOMO,0.22531262017229506,0.034417831811462796,-0.006416119003387594,10,8.37236195202799
CSO-9-4A-MLORO,-0.1740280361464346,0.07271502061164808,-0.4754610103109745,5,7.5422735932018545
CSO-9-4A-MPAME,-0.07819302957073467,0.09350490316578847,0.3489861431693551,11,8.483345635812029
CSO-9-4A-NSARPA,0.16834163559192264,0.05875978632871767,0.02603754206382971,8,8.372186583032091
CSO-9-4A-SLOCA,-0.372059193975315,0.04124005560986188,-0.4016702469177022,6,7.386558233764459
CSO-9-4A-YVDITR,-0.2236103728475235,0.10226933523932057,-0.4335474528332715,9,7.564159128606141
