subject,z_re_T2W20,z_pe_T2W20,z_l2_T2W20,z_l3_T2W20
CSO-16-11A-VZAOR,0.8173414562321757,0.007149969052429486,0.28957295937016375,1.1535416041410846
CSO-16-11B-KRORE,0.07483307991452928,-0.8529209887992685,-0.9897646696470773,0.028403113583168414
CSO-16-11B-LLOZA,-0.8872152022861871,1.2024383298228993,1.1355359615316,0.5494444645299543
CSO-16-11B-YAROMO,0.95811879048718,0.44940805906781833,-0.14639056749752027,0.07308546419715639
CSO-16-9A-JALEMO,0.8833117231611511,0.2059432257217816,0.534652347508707,0.14508694102452882
CSO-16-9A-JPROSO,-0.42282786384248605,0.28273032293656863,0.07925594078529476,0.13330867131083707
CSO-16-9A-JSMAGU,0.6606849336693815,-0.20102580870100797,-0.4339237594281599,-0.545279844716025
CSO-16-9B-SJPAJI,-1.2972813996256092,-0.5235769744862411,-0.360410328102182,-0.3237442123408008
CSO-17-10A-YVGOCA,-0.698460011249747,-0.785857013392284,-0.7540988584936745,-0.8947589114621771
CSO-17-10B-EHECO,-1.0433900757144527,-0.977797561983297,-1.0044568680888757,0.6007585063542865
CSO-17-10B-YCQUVE,-0.6247095074137821,0.6877172899786884,0.4968031715222522,-0.5291861213127524
CSO-17-11A-DJAPA,-0.5766064538154945,0.15263333604864546,-0.28161211123248037,-0.8936679912581762
CSO-17-11A-JDAMO,0.16206261481114442,-1.2098592475318128,-1.3041360638637087,-0.9224249311402826
CSO-17-11A-NPAHE,0.46989518730864605,1.7082736390941,1.3217121558404588,-0.2744119236142846
CSO-17-11A-RLPAIG,-0.1831649093848907,-0.06980792780910085,-0.2682691157297393,0.8648262546296565
CSO-17-11A-SPUVA,1.142519506314432,-0.8529784110791704,-0.8966869725288311,0.10891137446318185
CSO-17-11B-CDBEBU,-0.6989925588142334,2.35587098579219,2.594170864943864,0.14674720064713767
CSO-17-11C-JDAAG,-0.7257170176496079,1.1787847388260813,1.3096768529479619,-0.07203799056731976
CSO-17-11C-MAPAMA,0.27928416118458954,0.2856173501330769,0.6052751877824615,-0.12576286053102517
CSO-17-11C-MCAAG,-0.4443905169006946,0.8405288126727833,1.3599511410123635,0.03959342921353639
CSO-17-11C-SARJA,0.3517188388548744,-0.504573425929467,-0.38469361936846586,-0.30683455090864814
CSO-18-11A-ADBAHO,-0.7490977170765363,-0.2953002810147376,-0.12459251796142229,0.4155334240357481
CSO-18-11B-YLLRE,-0.13858008762452453,0.12866885694423147,0.2371319590876697,1.2099314556791267
CSO-18-9B-MAMOLO,1.9892468160818748,0.3209046611431286,-0.02940854169023524,0.9809321983740441
CSO-8-3A-DAPAVA,0.586853044784399,0.07220335514196927,0.4105349531478366,1.9382902307876126
CSO-8-3A-KVPECO,0.546587523655733,2.854812373594594,2.4277896565800696,-1.4642655341671265
CSO-8-4A-ARAGR,0.9209376146428213,-1.2193078366666161,-1.3212636272125822,0.15082880291036055
CSO-8-4A-JRAAR,1.477052600935623,0.007326571603251324,0.2830567058998727,2.9349335937141574
CSO-9-2A-EXMOCO,-0.686988985083816,-0.041409067243261405,0.22376783950601403,-0.9482599640456006
CSO-9-4A-AGAPE,0.7092515519073498,0.8100815024851797,0.49191261549051546,-0.21639870616556076
CSO-9-4A-DKVIMO,-0.8060515240399081,-0.5306180606448466,-0.3990800088211544,-0.4135362928829906
CSO-9-4A-DSMOMU,-0.7254099738609835,0.5520698729096412,0.9851878101423209,0.7046065194977936
CSO-9-4A-DVGATO,-0.2839061925995792,0.8284791674643434,1.1489651211460845,-0.23900158117441658
CSO-9-4A-FAGIGA,0.04668477715639,1.1319879740085075,0.7634455063189308,-0.5562356354616187
CSO-9-4A-GSBRCO,2.647171179043814,-1.273107550472381,-1.39487903090764,0.17127501083399466
CSO-9-4A-KEMOCO,-0.09247040686997317,-1.3206879829341045,-1.4484183751791486,-0.1789185914955139
CSO-9-4A-LCOMO,1.3265072691911417,-1.25613402337849,-1.5301186571844247,-1.7108214298262912
CSO-9-4A-MLORO,-0.8191111032966801,0.5911066521440723,1.1751567364943956,0.40186437220192955
CSO-9-4A-MPAME,-0.5144075012643518,0.9789842447589202,1.4577199559700045,-1.4980989688804929
CSO-9-4A-NSARPA,-0.18981215183793287,-0.6283988982808774,-0.5333178979205742,1.2268586268814863
CSO-9-4A-SLOCA,0.4070060419848737,1.0385602679353443,0.4710497824946736,-1.1221528234396514
CSO-9-4A-YVDITR,-1.5416270306100768,-0.9438249402931568,-0.9524376096395515,-0.551698120264456
