subject,edges_T2W40,re_T2W40,lsc_T2W40,z_re_T2W40,z_pe_T2W40
CSO-11-6B-DISEMO,-5.596250288138427,-0.8293139898349557,-3.5480582697057015,-0.33852390363945517,-1.0297839432265352
CSO-11-6B-LHFDLACH,0.5113117808036988,0.2173730808812447,-0.2865722361086264,1.1109089373825423,1.8783928673367873
CSO-11-6B-RJGIHE,0.5113117808036988,-0.8091100043155132,0.4384857744877538,-1.187870162048354,-1.3428334113718798
CSO-11-6B-SFLVA,0.5113117808036988,0.04869349516710903,0.8257500530665464,1.7028555699222923,1.038185429670536
CSO-11-6B-VCOMA,0.5113117808036988,0.14347049813820886,0.273961734568659,1.3617531189716787,0.17345568318157553
CSO-12-6A-DGISE,-3.5603962651577183,0.5102102501040919,-0.6777465578864145,0.473814622831107,0.5545875408675344
CSO-12-6A-FJOVRE,-0.05683352793510467,0.4534041605854726,-1.1163988460714218,-0.16865104243971973,0.5698536743168511
CSO-12-6B-GQULO,0.5113117808036988,-0.6365766891243014,-0.9053851879947264,-0.9496499786647362,0.53126613264799
CSO-12-6B-LJHEFE,0.31742092147221784,-0.12890915849427734,-0.628208550262423,-0.017757010808530014,1.0952171299495608
CSO-12-7A-DALRE,0.5113117808036988,5.507160968700244,-2.622610545160793,1.9630517782215176,-2.157831099637585
