subject,l2_T2W20,l3_T2W20,lsc_T2W20,z_re_T2W20,z_pe_T2W20,z_l2_T2W20,y_true,y_pred
CSO-13-6B-LJMAHU,0.32156285147819236,0.15599753361631818,-0.0028184976298640443,0.06241927099606924,0.250856057559279,0.33728142935128813,8,6.762429447059054
CSO-13-7A-CAPAMU,-0.03486137089373191,-0.010471727937141958,0.11395984549164968,0.027345024639438737,0.09427020089812309,0.13990726172626985,7,5.967280035612378
CSO-13-7A-CDDITR,-0.12380862130881562,-0.06760092588808982,-0.08020098321876336,-0.009145046499789124,-0.16774506927567048,-0.1304598211816822,2,5.058170334314958
CSO-13-7A-JJATFL,-0.04288265053536903,0.02618109665621477,0.08636802788350398,0.01524122465377491,-0.04414539361475307,-0.028916481727919437,7,5.648976625003225
CSO-13-7A-KRAMA,0.43309776104415565,-0.0008956034183947411,-0.006516979933582574,0.02874453077675386,0.24480201054899894,0.4361343676370645,6,6.772496888342769
CSO-13-7A-RXCHLU,0.02710955678443343,-0.04759596410263747,-0.06636608667293585,-0.23999973841179167,-0.14314085154934456,-0.15704117730089068,1,5.0100965404346045
CSO-13-7A-YAMEZA,-0.10384336103844231,-0.0416099100559945,0.04477505159818343,-0.13223845328160483,-0.11014660900178785,-0.20295178670582512,3,5.0911157332023
CSO-13-8A-KIGAGU,-0.1478253608620953,-0.017697507851365014,-0.17062830741113205,-0.17238188078684538,-0.00409058992778199,-0.057025310256590196,2,5.067481844591961
CSO-13-8A-MBUAN,-0.04281152966784953,-0.052869620671188236,-0.82294805071964,0.048233291436940634,-0.046503113855336106,-0.059380729853026025,3,4.660851048357676
CSO-13-8A-MGAAN,-0.13146897735169685,-0.023943237901096058,0.00019463573805445663,-0.14085377159145948,-0.06353239879451586,-0.09294712112632873,9,5.184579930660729
CSO-13-8A-MGAHE,0.24468246945780717,0.021963678624910263,0.07533824209166957,0.1429267717835654,0.05491235320333903,-0.018437174609131378,12,6.158517142239928
CSO-13-8A-MJAGA,0.15242958334407886,-0.016836842495228634,0.08106927315268549,-0.01465157899495399,-0.013807494089912303,-0.16288505436879558,2,5.662448688235644
CSO-13-8A-VHODU,0.008786656895594753,-0.007172785028099505,0.023857143697846077,0.9145196086131737,-0.06712538549865815,0.006900647333278019,8,6.516896687700903
CSO-13-8B-FCJISA,-0.23432903015749365,-0.015170628578979951,0.051127713401519094,-0.06043644557171427,-0.132045275239972,-0.16759890801398214,5,5.078678227527153
CSO-13-8B-JEMABE,0.2009321754914599,-0.04703652647352862,0.04325347845090736,-0.24792773131013912,-0.027031255417235812,-0.10422082244235324,6,5.455100119986879
