subject,lcc_T6W40,lsc_T6W40,z_asp_T6W40,y_true,y_pred
CSO-15-10B-MEBUAR,-0.4135712259803155,-0.00020494446437968605,0.0,16,13.164556765476053
CSO-15-10B-YVBUAN,-0.37243312433782894,-0.03717554230556086,0.0,24,13.168724269277359
CSO-15-10C-ALBAHO,-0.30146703349173265,-0.04237028741219362,0.0,13,13.234495615016826
CSO-15-10C-SSCAMO,-0.6418874885243646,-0.047582134374774654,0.0,10,12.88886331302161
CSO-15-11C-JETALO,0.3723375901666302,0.03733988351784129,0.0,15,13.98801040960522
CSO-15-7B-JCRAGA,-0.3054594999247042,-0.010302727938563017,0.0,20,13.262570708057481
CSO-15-8A-VBMABR,0.3923945964394848,-0.04051945649747868,0.0,31,13.930208075862755
CSO-15-8B-KEPOGO,-1.4801191140477803,-0.1666031341421439,0.0,7,11.931610687730824
CSO-15-9B-ALRIHE,-0.9572028300345101,-0.08504505651781447,0.0,8,12.536085049368424
CSO-15-9B-AMSAGO,-1.0613806905646337,-0.09593368297560456,0.0,32,12.421018562380507
CSO-15-9B-JCAPA,-0.4387083160320682,-0.07502859088614672,0.0,14,13.064596029002534
CSO-15-9B-KSBEJA,1.353739710555966,0.10566447929145273,0.0,28,15.037737125768167
CSO-15-9B-RMCHLU,0.25081420633077833,-0.056955097638875074,0.0,9,13.772192044612652
CSO-15-9B-SJAGRO,-2.0002701051753213,-0.17910199348779798,0.0,7,11.39896083725763
CSO-16-10A-JEGAHE,0.06652890077458729,-0.04083846008344061,0.0,9,13.604023376611892
