subject,z_re_T6W50,z_l1_T6W50,z_l2_T6W50,z_l3_T6W50,z_diameter_T6W50,z_asp_T6W50
CDMS-11-6B-EAFESA,1.8720700006391955,0.1601499708931712,0.1729074614511802,-0.45475893874785495,0.8178090891912636,0.9987268890584231
CDMS-11-6B-EFRGR,1.8896713309859792,0.07370354751654938,-1.737176150472217,3.589388577055419,1.4693751105236696,1.6848935869556498
CDMS-11-6B-EROCO,0.3272858230524275,-0.715771497090258,-0.9626124984919213,0.5302388724764737,-0.08298072299670377,-0.11794123089482442
CDMS-11-6B-JACUPE,-0.7803568283363305,1.8270523406424626,0.6585828816827037,-0.6967466010401006,0.48979722883167226,0.9707824904715375
CDMS-11-6B-JDCHBA,0.4891269199499157,1.1584932809159374,1.7967464304635268,-0.8196743646763133,1.4188937372404862,1.7594715325697616
CDMS-11-6B-JFSAHE,-0.2624590386070194,-0.9173316798014831,0.6705160132023479,0.35724446227270246,-1.3714068496995464,-1.3054487184559038
CDMS-11-6B-JLPENA,-0.23684584490551594,-0.028654277132969728,0.17811355923348865,1.0319884331883769,0.8974849493215438,0.3609862601144415
CDMS-11-6B-JMARME,0.3229270376394232,-0.7681246954121939,0.5278701145313062,0.29165536698846906,-0.01576366070123438,0.12160612543414136
CDMS-11-6B-JPSAMA,0.5684463432757811,0.023601421997045933,0.46540238514610155,-1.0048804415457535,-0.02958031182805733,-0.1037858602942226
CDMS-11-6B-LESTA,0.9630970525718868,-0.38998801461178967,-0.6304332479022149,0.7142853351075489,0.3118649584411704,0.32807097438687705
CDMS-11-6B-MAGIMU,0.28337556467791325,-1.1922533855326969,-0.3602956199079337,2.0347598969773664,-0.32514059877919804,-0.3377504258982714
CDMS-11-6B-MEBRTA,-0.5402469549882265,0.5984915343137943,1.954672042605444,-1.685990145562861,1.6824232889633595,1.4115174249170188
CDMS-11-6B-MMAMO,-0.8104116746086075,0.5259194177654101,-0.15583991422427892,-0.9099468475037953,-0.8644401368249729,-0.8962758826595624
CDMS-11-6B-RSECA,-0.4238787161684087,-0.8438224378572595,0.27384213567948346,-0.5727129053005968,-1.309362378247723,-1.2907085750629834
CDMS-11-6B-SCAPA,-0.11211165947769755,-1.0202930448183525,-1.668791027778476,0.15417276126898471,-0.8117287351279938,-0.9840182716770693
CDMS-11-6B-VZAPE,1.4140307887262342,0.32821371306989977,0.2670760094286369,-1.5859942581646274,0.7154373630838955,1.2930550818779016
CDMS-11-6B-YLNIME,0.13285249680089328,-1.0669016016564805,-0.35271231755616006,-1.07608207921026,-0.3132534387288419,-0.6221590565325195
CDMS-11-7C-ICARE,1.7061855524885103,-0.6499620964568621,-0.397962634994205,1.2622546886719708,1.74930508619051,1.7383901101766868
CDMS-11-7C-IMOIB,-1.5512401859977738,0.4467356524600593,1.0920543537360037,-0.8410598477580996,-0.6231316393755093,-0.7520309556112107
CDMS-11-7C-SALMA,2.3006183855679296,-1.1680800452897346,-0.551523325425282,-0.21267505955911187,0.3837517413351524,0.7339315021145048
CDMS-11-7C-SPGAVE,1.3507921931143316,2.788147602633746,0.9017624902697084,-0.3350294977123711,3.1792835344750596,3.108382786459004
CDMS-12-5A-SRIGO,0.6734496715330337,0.16045388589224116,-0.017877405795245035,-1.1206986050646477,-0.6207394521989003,-0.8101046561695995
CDMS-12-6A-FAROPA,-0.9571788492589892,0.4632899099855626,-0.45659111860180124,-1.420071117438833,-1.7330675614648448,-1.3710347901067856
CDMS-12-6A-JGIGA,-1.3137795927224918,-0.580749939750769,0.623313668172136,-1.2203696856579984,-0.837838662109448,-1.2153216102809
CDMS-12-6A-JSOTGU,0.654148577637242,-0.37663772960114394,-1.4264128014643556,0.9268737786280827,0.4637224762261768,0.3856352632163259
CDMS-12-6A-SROAL,-0.8456116160791921,-0.021846868770370932,-0.4049608942912852,-0.7064297802831645,-1.263489312924587,-0.9791734739238938
