subject,nodes_T2W30,re_T2W30,pe_T2W30,l1_T2W30,l2_T2W30,lcc_T2W30,atd_T2W30,diameter_T2W30,asp_T2W30,z_pe_T2W30,z_l1_T2W30,z_l2_T2W30,z_lsc_T2W30,z_density_T2W30,z_diameter_T2W30,z_asp_T2W30
CDMS-12-7C-MAROBE,23.95833333333333,0.7604166666666666,0.0,0.6041666666666666,0.0,23.95833333333333,2.4372766543373428,9.1875,4.071078663015244,-0.7833208830253954,0.0965728331184436,-0.7910129830130344,0.2311221535466676,-0.0976940648080746,-0.1746616752695618,0.0110766968559218
CDMS-12-7C-VMAPA,24.25454545454545,0.7272727272727273,0.0,0.0,0.0,24.25454545454545,2.398398827639934,8.181818181818182,3.731039121323706,-0.7128832857587155,-0.6768693410781222,-0.7174239840168632,0.5501990349762711,0.3082252664662167,-0.671658020162693,-0.6740550118364224
CDMS-12-7C-VQURA,22.43859649122807,1.087719298245614,0.6929824561403509,0.4210526315789473,0.5701754385964912,22.43859649122807,2.596650208624194,7.93859649122807,3.530506046582766,-0.1971902735470695,-0.3884345448945405,-0.2911285950028947,0.1225350264993697,-0.3583982554138948,0.0924342052749228,0.1551000874219411
CDMS-13-6B-ASUMO,19.0,2.0,0.0,0.0,0.0,19.0,2.9473684210526314,6.0,2.742690058479532,-1.0972613034920429,-1.005709730906252,-1.0952188534949556,-0.8015119452662608,0.0258284999100797,0.3313690655923462,-0.0373500155571519
CDMS-13-6B-JDTAHE,23.06741573033708,0.3707865168539326,1.2359550561797752,1.1348314606741574,0.9325842696629212,23.0561797752809,2.493531314801466,10.359550561797754,4.252621516075094,0.6392384039901753,0.681421926978949,0.3253503786153571,-0.893307260925534,-0.9649832575024048,1.088015410908656,1.1459552025615587
CDMS-13-7C-MVEAR,22.689655172413797,0.9195402298850576,1.9540229885057472,1.011494252873563,1.3333333333333333,22.689655172413797,2.5656277056277057,9.20689655172414,3.925433637703818,1.5191700180756351,0.4984887913008825,0.8046085352846654,-0.6350960009096802,-1.6360936437663005,0.9288845450308628,1.2156729894381113
CDMS-13-7C-RAIZAC,23.97590361445783,0.7349397590361446,0.4939759036144578,0.6987951807228916,0.3132530120481928,23.97590361445783,2.441299471922835,11.566265060240964,4.8047735138741725,-0.2767946582003616,0.4706962059004738,-0.4529547675435363,-0.5020257796216507,-0.5303457664469422,0.9043183298708632,1.1296798711739
CDMS-13-7C-SSOSLO,23.12037037037037,0.9074074074074074,1.6203703703703705,0.0555555555555555,1.1296296296296295,23.12037037037037,2.525760991769764,11.12037037037037,4.626068874082477,1.425034475393135,-0.6658119113252001,0.8163968434387366,-0.9906836323046442,-0.9690165730379467,1.6268883488466903,2.1077106964385157
CDMS-14-10A-IMORTO,24.1,0.58,0.56,0.0,0.56,24.1,2.4276964179138094,8.88,3.8459364893264207,-0.1166987213859924,-0.8028519118303614,-0.0929276699545797,0.1769284882160301,0.2477295581398452,-0.4589157898050385,-0.5262724677161832
CDMS-14-10A-JCVANI,22.598086124401917,1.2822966507177034,0.6746411483253588,0.5550239234449761,0.416267942583732,22.598086124401917,2.6118180227958825,8.760765550239235,3.832481222328114,-0.1937195572876534,0.0065844505363014,-0.467599729297635,-0.3324457999645387,-0.5281843522472998,0.2766570850686907,0.4952838765374767
