feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
re,raw,6,T6W30,252,0.08883810111908617,0.15971483680675086,0.09168716780616491,0.14750528343449656,-0.1603999567109654,0.010767841059749655,-0.1402371035910034,0.026305371292660865,0.08883810111908617,0.09168716780616491,0.1603999567109654,0.1402371035910034
pe,raw,6,T6W30,252,0.02047276261887284,0.7463823620756591,0.021025238060870362,0.7402846843124486,-0.048281848782371004,0.4454125829320023,-0.04180522485950658,0.5097020920472523,0.02047276261887284,0.021025238060870362,0.048281848782371004,0.04180522485950658
l1,raw,6,T6W30,252,-0.00999042814838218,0.8746076259507038,-0.0088617331680094,0.8888984424839711,-0.02881883608389429,0.64888985773122,-0.013467770856216775,0.8318619124976506,0.00999042814838218,0.0088617331680094,0.02881883608389429,0.013467770856216775
l2,raw,6,T6W30,252,0.018044882049969478,0.7756037823815736,0.018239875718072434,0.7736870271600493,0.0006287185150216314,0.9920763565136662,0.0032035444228082303,0.9597235673448544,0.018044882049969478,0.018239875718072434,0.0006287185150216314,0.0032035444228082303
l3,raw,6,T6W30,252,0.07323254261812999,0.24673885807712811,0.07434766160031628,0.24054165155925983,-0.20832656949786713,0.0008771696255254403,-0.19947213412580134,0.0014909416740881598,0.07323254261812999,0.07434766160031628,0.20832656949786713,0.19947213412580134
lcc,raw,6,T6W30,252,-0.10927688405658913,0.08340172289616093,-0.11190205452326435,0.07679803800119103,0.14518937961773012,0.021134045131212278,0.12695578355498985,0.044488772533697304,0.10927688405658913,0.11190205452326435,0.14518937961773012,0.12695578355498985
lsc,raw,6,T6W30,252,-0.05111979736503953,0.41909314570789635,-0.05222400711482712,0.4100439425472866,0.042320303012001535,0.5036398849755004,0.03042562459325475,0.631414018500816,0.05111979736503953,0.05222400711482712,0.042320303012001535,0.03042562459325475
atd,raw,6,T6W30,252,0.10503657197786488,0.09616853789387647,0.10833528816250765,0.08674360034750746,-0.14944123624754474,0.017603356619480825,-0.12781197461722904,0.04306078807000488,0.10503657197786488,0.10833528816250765,0.14944123624754474,0.12781197461722904
density,raw,6,T6W30,252,0.10578150688150835,0.0938194964956871,0.10867704609467786,0.085747975488323,-0.1365207628600652,0.03026695126102667,-0.11654839599415416,0.06524952695202407,0.10578150688150835,0.10867704609467786,0.1365207628600652,0.11654839599415416
diameter,raw,6,T6W30,252,-0.11390411194672719,0.07106511824059336,-0.11592165717481569,0.06671882445846107,0.12180378906524877,0.0534634572858912,0.10662431760649381,0.09186836024594305,0.11390411194672719,0.11592165717481569,0.12180378906524877,0.10662431760649381
asp,raw,6,T6W30,252,-0.11398254589879848,0.07086958080185475,-0.11606377727592317,0.06638329238733594,0.12559505316606684,0.046399495019468565,0.11011978164183144,0.0816456694136137,0.11398254589879848,0.11606377727592317,0.12559505316606684,0.11011978164183144
cc,raw,6,T6W30,252,0.03598992553869676,0.5695826906641559,0.03733278405501016,0.5560521331201497,-0.170655407864971,0.006616565021405296,-0.15799912564141919,0.012195185974333052,0.03598992553869676,0.03733278405501016,0.170655407864971,0.15799912564141919
nodes,raw,6,T6W40,252,-0.10517115003139792,0.0957407379226345,-0.10781639360086391,0.08827298146888217,0.1490923411821706,0.01787234866251557,0.13063755826431828,0.03861852023148235,0.10517115003139792,0.10781639360086391,0.1490923411821706,0.13063755826431828
edges,raw,6,T6W40,252,-0.04135903364297302,0.5133889722781211,-0.041626508640664535,0.5115148894949478,0.02507210813524114,0.6920379782129483,0.021961828134523364,0.729157993806644,0.04135903364297302,0.041626508640664535,0.02507210813524114,0.021961828134523364
re,raw,6,T6W40,252,0.07945171703786788,0.2087629226199282,0.08213681599322638,0.19463496346404047,-0.16493306693887871,0.008710720226000225,-0.14516579472999253,0.021415472919236782,0.07945171703786788,0.08213681599322638,0.16493306693887871,0.14516579472999253
pe,raw,6,T6W40,252,0.018441739527731777,0.7708044193654428,0.0189540027523052,0.7650805723885041,-0.050474695680122104,0.4249946779703108,-0.04449569364179453,0.4828205647523477,0.018441739527731777,0.0189540027523052,0.050474695680122104,0.04449569364179453
l1,raw,6,T6W40,252,-0.011143737176303344,0.8602724847080775,-0.010036562584110236,0.8742839629797547,-0.029090567182900744,0.645803492420725,-0.013969602308160474,0.8256950360485986,0.011143737176303344,0.010036562584110236,0.029090567182900744,0.013969602308160474
l2,raw,6,T6W40,252,0.008165390282388676,0.8973740553176216,0.008288653937918698,0.8960413127057546,-0.008908204030445172,0.8880966073797939,-0.007375246199486309,0.9074431449393713,0.008165390282388676,0.008288653937918698,0.008908204030445172,0.007375246199486309
l3,raw,6,T6W40,252,0.07231084986077564,0.2527522219984891,0.07360628418927281,0.24527657845472034,-0.20497959712049263,0.0010656653773337475,-0.19462750177923624,0.0019498615004121386,0.07231084986077564,0.07360628418927281,0.20497959712049263,0.19462750177923624
lcc,raw,6,T6W40,252,-0.1089318326168852,0.08438679316447015,-0.11151340117906125,0.07783475767354028,0.14803674110259257,0.01870811233330097,0.13007156459383015,0.03947595073930586,0.1089318326168852,0.11151340117906125,0.14803674110259257,0.13007156459383015
lsc,raw,6,T6W40,252,-0.08239205203537248,0.19235355030031892,-0.08397368465889922,0.18480788759534955,0.07209429298723925,0.25417969833667536,0.057728049843458806,0.36241186955926247,0.08239205203537248,0.08397368465889922,0.07209429298723925,0.057728049843458806
atd,raw,6,T6W40,252,0.10198140066775829,0.10629567809347629,0.10492049498299966,0.09720917500703358,-0.15127033826598757,0.016250109481069124,-0.13121465364303483,0.03776052165561753,0.10198140066775829,0.10492049498299966,0.15127033826598757,0.13121465364303483
density,raw,6,T6W40,252,0.10522083547292227,0.0955831799208748,0.10808644489092102,0.08747436211369375,-0.1373831892003673,0.029228063301179268,-0.11754935063027926,0.06295802233808723,0.10522083547292227,0.10808644489092102,0.1373831892003673,0.11754935063027926
diameter,raw,6,T6W40,252,-0.11049730133953552,0.07999166902490655,-0.11271197776988168,0.074673543137836,0.123268587034008,0.05063502065791326,0.10685048526966107,0.09117737916011509,0.11049730133953552,0.11271197776988168,0.123268587034008,0.10685048526966107
asp,raw,6,T6W40,252,-0.10788421230473978,0.08743503932412645,-0.10996449653877825,0.08207946386280435,0.127707713383431,0.042814088688283444,0.11204066566716415,0.07643101528772477,0.10788421230473978,0.10996449653877825,0.127707713383431,0.11204066566716415
cc,raw,6,T6W40,252,0.045477806764850096,0.472313134601076,0.04671729907463102,0.4612140554191971,-0.16678946332941028,0.007974510784898732,-0.15539512923045756,0.013715748674748408,0.045477806764850096,0.04671729907463102,0.16678946332941028,0.15539512923045756
nodes,raw,6,T6W50,252,-0.0969785154282262,0.1246724210156909,-0.09955104575590204,0.1156671770125335,0.15516130264262962,0.013670182947923428,0.13679993454980946,0.03025799355570728,0.0969785154282262,0.09955104575590204,0.15516130264262962,0.13679993454980946
edges,raw,6,T6W50,252,-0.04111783031736758,0.515850467047125,-0.04137489524907924,0.5140727744376841,0.024006682084692355,0.7044990662226608,0.02101173255596796,0.7404455318545431,0.04111783031736758,0.04137489524907924,0.024006682084692355,0.02101173255596796
