subject,nodes_T2W20,re_T2W20,pe_T2W20,l1_T2W20,l2_T2W20,l3_T2W20,lsc_T2W20,asp_T2W20
CSO-13-8B-JEMABE,14.509803921568627,0.8823529411764706,1.1176470588235294,0.1372549019607843,0.8235294117647058,1.3333333333333333,9.058823529411764,3.233917341789314
CSO-13-9B-DMLLLU,15.714285714285714,0.2448979591836734,0.3673469387755102,1.4489795918367347,0.3673469387755102,0.3469387755102041,6.918367346938775,4.000829232792018
CSO-14-7A-MVEBE,16.0,0.0,0.0,0.0,0.0,0.0,15.0,2.9625000000000004
CSO-14-7B-EVEGO,17.29940119760479,0.4251497005988024,0.2634730538922156,0.1137724550898203,0.2455089820359281,0.3592814371257485,9.724550898203592,4.391837721940983
CSO-14-8A-AQUMA,16.300884955752213,0.4424778761061947,0.2123893805309734,0.2920353982300885,0.2123893805309734,0.6548672566371682,9.008849557522124,3.7727341786439297
CSO-14-8A-MCIDOS,16.0,0.0,1.8888888888888888,1.0,1.8888888888888888,0.0,9.333333333333334,3.761391223155929
CSO-14-8A-SZARA,15.810126582278482,0.5569620253164557,0.9873417721518988,0.0,0.9873417721518988,0.8481012658227848,8.329113924050633,3.725989680047759
CSO-14-8B-JLLORA,15.783132530120485,0.6144578313253012,0.0,0.6987951807228916,0.0,0.5060240963855421,10.144578313253012,3.603645415534147
CSO-14-9A-AEDCAGO,16.93125,0.36875,0.35,0.11875,0.2875,0.10625,9.05,4.010595538792133
CSO-14-9A-HASACA,16.959349593495936,0.3089430894308943,0.08130081300813,0.2113821138211382,0.08130081300813,0.0975609756097561,10.642276422764228,3.919826237441204
CSO-14-9A-JSMAAL,17.24175824175824,0.0879120879120879,0.1978021978021978,0.2087912087912088,0.1978021978021978,0.3186813186813186,9.945054945054943,4.100765947404603
CSO-14-9A-MARJA,17.443396226415093,0.490566037735849,0.0,0.2924528301886792,0.0,0.4811320754716981,9.849056603773583,4.281427976048719
CSO-14-9A-SORZU,15.067961165048544,0.9223300970873788,0.3495145631067961,0.6601941747572816,0.1844660194174757,0.9029126213592232,10.388349514563108,3.1859727017065684
CSO-14-9B-ERAGA,16.151515151515152,0.6161616161616161,0.101010101010101,0.7474747474747475,0.101010101010101,0.9696969696969696,10.787878787878787,3.677198484732025
CSO-14-9B-MFEGA,16.8828125,0.265625,0.8515625,0.4453125,0.5859375,0.25,10.1328125,3.9735256950705375
CSO-15-10A-LJRAGU,17.027624309392266,0.0939226519337016,0.7403314917127072,0.2099447513812154,0.6464088397790055,0.4585635359116022,8.88950276243094,4.022417809058077
CSO-15-10A-MAARLO,16.105263157894736,0.3684210526315789,0.4736842105263157,1.1973684210526316,0.4736842105263157,0.7631578947368421,8.118421052631579,3.943138412585007
CSO-15-10A-SFEGA,17.657894736842106,0.1842105263157894,0.0,0.7368421052631579,0.0,0.0,6.026315789473684,5.105787333400581
CSO-15-10B-MEBUAR,16.009090909090908,1.2,0.3272727272727272,0.1727272727272727,0.3272727272727272,2.2818181818181817,10.172727272727272,3.829644480046957
