subject,nodes_T2W20,edges_T2W20,l2_T2W20,lcc_T2W20,y_true,y_pred
CSO-12-6A-FJOVRE,-0.25151553778275065,-0.051152363289029334,0.0,0.2609420627529856,2,2.8377169115424152
CSO-12-6B-GQULO,0.0886113435623106,0.1683288629036046,0.0,-0.13638295632712838,5,2.9999999999999964
CSO-12-6B-LJHEFE,-0.01997986929900942,0.07444550586235789,0.0,-0.0268434267280171,4,2.907064959696541
CSO-12-6B-VPAMA,0.34524061434252434,0.168328862903604,0.0,-0.39301222710734507,1,2.999999999999993
CSO-12-7A-DALRE,-0.7561107370088223,0.16832886290360494,0.0,0.7083391242440077,2,3.0
CSO-12-7A-ESALA,0.3394422627994921,0.1683288629036045,0.0,-0.38721387556430975,2,2.9999999999999964
CSO-12-7A-IMERO,-0.09096628220919639,0.16832886290360452,0.0,0.04319466944437869,4,2.9999999999999964
CSO-12-7A-JHEZA,-0.01972509763811034,0.16832886290360452,0.0,-0.028046515126707368,3,2.9999999999999964
CSO-12-7A-LSARAR,0.23457995368186435,-0.17686633229159215,0.0,-0.2328020168971347,2,2.7043543543543507
CSO-12-7A-SCAHO,0.08663650461482048,0.051970931938933804,0.0,-0.09432308853056513,4,2.9237270978843988
CSO-12-7B-DVAGRO,-0.07435755525564393,0.16832886290360463,0.0,0.026585942490826117,3,2.9999999999999964
CSO-12-7B-SMUGU,-0.014946495844583886,0.0485387431134859,0.0,-0.00015508425020286515,2,2.9128799128799088
CSO-12-7B-SSARA,0.11640956654596278,0.1683288629036051,0.0,-0.16418117931077753,2,2.9999999999999964
CSO-12-7B-VHOMA,0.09813916506716419,0.1683288629036047,0.0,-0.14591077783198203,5,2.9999999999999964
CSO-12-8A-YTOME,0.05620157530348746,0.1683288629036046,0.0,-0.10397318806830524,4,2.9999999999999964
CSO-13-6A-ANASA,0.24829584348471245,0.05576521229647646,0.0,-0.2928359638876006,5,2.890667841754798
CSO-13-6B-JETAVE,0.013500337480300106,-0.1241343319986132,0.0,-0.03830996386849685,4,2.7304987914743997
CSO-13-6B-LFMIES,0.24614151524342812,-0.6492387046639608,0.0,-0.10279343688855358,6,2.3735521235521233
CSO-13-6B-LJMAHU,0.04065661858206043,-0.280531762427607,0.0,0.14863235865489072,2,2.7881999646705538
CSO-13-7A-CAPAMU,-0.006561187459274507,0.02038806496280972,0.0,-0.03271621681133367,1,2.860553410553411
CSO-13-7A-CDDITR,-0.0009366439968928331,0.16832886290360455,0.0,-0.04683496876792489,5,2.9999999999999964
CSO-13-7A-JJATFL,0.08923460833652008,-0.11717092259617679,0.0,-0.13700622110133698,2,2.714500214500216
CSO-13-7A-KRAMA,-0.15300763390572214,-0.8612006666259187,0.0,0.17130208720696904,1,2.0365365365365413
CSO-13-7A-RXCHLU,-0.20519025130572877,0.1683288629036048,0.0,0.15741863854091434,4,3.0
CSO-13-7A-YAMEZA,0.12451351330381205,0.16832886290360474,0.0,-0.17228512606863,3,2.9999999999999964
CSO-13-8A-KIGAGU,0.07713339821550906,0.168328862903605,0.0,-0.12490501098032368,3,3.0
CSO-13-8A-MBUAN,0.2921518112537222,-1.1813064867317413,0.0,-0.047345131440248656,2,1.942942942942942
CSO-13-8A-MGAAN,0.2315107427386393,-0.011922254355385242,0.0,-0.258994350963483,3,2.8400368872809807
CSO-13-8A-MGAHE,-0.01186649276458085,0.16832886290360483,0.0,-0.03590512000023715,4,2.9999999999999964
CSO-13-8A-MJAGA,-0.13393978556957958,0.16832886290360516,0.0,0.0861681728047648,4,2.9999999999999964
CSO-13-8A-VHODU,-0.009864490762579555,0.027432864864750387,0.0,-0.03790712200223779,2,2.8591040019611427
CSO-13-8B-FCJISA,0.2624566108268147,0.008803483866033357,0.0,-0.30781117239409284,1,2.842891672159965
CSO-13-8B-JEMABE,-0.3712847345357623,-0.1095372384919055,0.0,0.342944317672729,2,2.7415650945062744
CSO-13-9B-DMLLLU,-0.1325586134566998,-0.8550210175891305,0.0,0.11714589019363009,2,2.0090090090090094
CSO-14-7A-MVEBE,-0.07593055682864355,0.16832886290360455,0.0,0.028158944063825825,2,2.9999999999999964
CSO-14-7B-EVEGO,0.18160841927320479,0.16832886290360471,0.0,-0.2293800320380227,3,2.9999999999999964
CSO-14-8A-AQUMA,-0.01629570073360894,-0.014960621270833155,0.0,-0.019198147541051275,4,2.8289882803157163
CSO-14-8A-MCIDOS,-0.07593055682864355,0.16832886290360455,0.0,0.028158944063825825,1,2.9999999999999964
CSO-14-8A-SZARA,-0.11356312610678149,-0.09384470306742425,0.0,0.07331802719759406,2,2.745352947884598
CSO-14-8B-JLLORA,-0.11891329860656613,0.1683288629036045,0.0,0.07114168584174846,6,2.9999999999999964
CSO-14-9A-AEDCAGO,0.10864151524342844,-0.0905675334927902,0.0,-0.13163835323346962,3,2.7658783783783782
CSO-14-9A-HASACA,0.11421080404442378,0.03539104703896416,0.0,-0.14425737469395336,5,2.884787226250644
CSO-14-9A-JSMAAL,0.17018368928560187,0.16832886290360463,0.0,-0.21795530205041969,4,2.9999999999999964
