subject,edges_T6W50,re_T6W50,pe_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,y_true,y_pred
CDMS-12-7C-DLOLO,0.0,-0.0005687091004180341,-7.930241903000387e-05,9.39856408478882e-05,-5.672156312730023e-05,-0.00026341815240756337,-0.0012440672228569206,-0.00030010467986389374,9,7.998880593665437
CDMS-12-7C-JSZAOR,0.0,-0.0005678479700929487,-0.0005315135656772022,6.22198050295695e-05,4.741801431827836e-05,0.0001641545481332812,-0.00026919814846087896,-0.001250027262092723,5,7.99895413658345
CDMS-12-7C-MAROBE,1.1732938364921765e-05,0.00045762788455740866,0.0005362946055956213,0.00015636011046153055,6.772017269729944e-05,0.00022993936577138879,0.001053829091362007,0.0005276471781315401,8,8.004340082509234
CDMS-12-7C-VMAPA,0.0,-0.0002789633498745028,-0.0004323208600556596,0.0002630299817090003,4.0496363589235894e-05,0.00020814663770338154,-0.0003871787025764226,0.000563808959458918,7,8.001275950192246
CDMS-12-7C-VQURA,0.0,-6.149420085932271e-05,0.0,0.0002142949045817076,6.25277755255755e-05,-0.0001511113088082264,0.0009387696369548638,0.0001313687681801323,9,8.002433286737867
CDMS-13-6B-ASUMO,-0.00018155505476984178,0.000482355280507404,0.0005146881891010548,0.0,0.0,-0.0006641915206820065,0.0004779524731497804,-0.00233237930255474,7,7.999595801227044
CDMS-13-6B-JDTAHE,0.0,0.00020735473950527137,0.00024592556825184025,0.0,4.467457135073666e-05,-0.00021447311568138932,0.0004484908614477711,-0.0009115262860401843,8,8.001119377501126
CDMS-13-7C-MVEAR,0.0,0.0,0.00031230007840935697,-0.00021843464687192147,-2.502806389559185e-05,-2.1995155478150234e-05,-0.0014279709043116397,-0.0005371026364490846,11,7.999380699833695
CDMS-13-7C-RAIZAC,0.0,0.0002637417862812413,-0.0005233534343189998,0.00011833413975025488,-0.00032533180060203263,0.0005400190171870219,0.0006159546935394735,0.0011212402567447792,8,8.003109535820874
CDMS-13-7C-SSOSLO,0.0,-0.0003283019608320418,-0.0003568472325181798,-0.00010280393994756053,-2.003460844280042e-05,-0.0006537179168211271,-0.0013355108677405771,-0.0005732231799445546,10,7.997928491456046
CDMS-14-10A-IMORTO,0.0,-0.0005663735479071531,-0.0010280686010672687,0.00016679510444226036,0.0,0.00029998057292189757,-0.0007506301886333688,0.00030163518990199893,10,7.999722269691951
CDMS-14-10A-JCVANI,8.523456861938769e-06,0.0002824782753218896,0.00042988262599443356,0.00014130741288392716,6.667527489000423e-05,0.00032061419274862456,0.0007558416163429829,0.0005617987286459683,9,8.003866052745982
CDMS-14-5A-LSDUCO,0.0,-0.0008269954210502727,-0.0008806452543204474,0.0,7.64855653151179e-05,-0.0002673095436374689,-0.0010324389060280418,-0.0010991393485791112,5,7.997268888253992
CDMS-14-6B-KDCAHE,0.0,-0.0003272935299311192,-0.0007829185618842584,-0.0002281393518705549,-6.335033427489975e-05,-6.247955154022435e-05,-0.0004390560605369763,-0.0005865026224600989,7,7.998809191149794
CDMS-15-10A-AMALOS,0.0,0.00047975839623430323,0.0003055595106877595,-0.00047862291199583676,-7.429088596774608e-05,0.00044660009714525507,0.0010079080533234692,0.001098809418651241,8,8.00408465284037
CDMS-15-10A-JJMACH,0.0,0.00025167768124618805,0.0,0.0001078126478421272,-9.845919660322715e-05,0.0002629143715642442,0.0002928829618684368,-0.0005829646401160635,8,8.001532794988094
CDMS-15-10A-MAALCA,1.149174092524713e-05,0.0005335243834944511,0.0007090368781588458,0.00015418772884257973,7.447150653862704e-05,0.00021719695567212963,0.0017420686241584721,0.0008617284743901117,10,8.005602637454473
CDMS-15-10A-MAALRI,1.4657943526620934e-05,0.0005477076950684787,0.0005493989840160201,0.0001746580797213401,4.2064736084901564e-05,0.0002799959975072715,0.0016932698324151811,0.0009957125272962429,10,8.005596396957928
CDMS-15-10A-SGOMO,0.0,0.0002845050152353282,0.00015247770354090065,0.00011306883505120728,-0.00020218016666069148,0.00016245786755085434,0.0001333831253372788,-0.0008458904836772081,9,8.00109675305867
CDMS-15-10A-SHEGA,0.0,0.0003181577246621059,0.0004846154724236388,0.00014225755697653216,5.910270860375348e-05,-0.0009356076687337022,0.00134909688943681,0.000771517816920928,9,8.003488071662582
CDMS-15-11B-JEMOLO,1.5120300045309322e-05,0.0002537173769734135,0.0004753750139053386,8.555010071727231e-05,6.722435906231603e-05,0.0004689760831898609,0.0018655682408098807,0.0012332325919452499,9,8.005763695228941
CDMS-15-11B-VSAHO,0.0,-0.0006781773251890652,-0.0001786887518581583,3.8507441714030494e-05,6.587026346702866e-05,0.000505321349778749,0.0004911914894688551,0.0009278854438966957,9,8.00247084107357
CDMS-16-10A-SGALO,1.4050918454959482e-05,0.0005809661841980704,0.0007473033642147002,0.0002171618377021559,7.472822343083989e-05,0.00019846454952958324,0.0019114951865109424,0.0012202772197289764,8,8.006263378646063
CDMS-16-11B-NGABE,2.8429769225541725e-05,0.0003392363036275758,0.00034157543338343086,0.00014593168467060707,2.5707561888471762e-05,0.0003379338369661526,0.0006411722213980115,0.0001002833896392392,10,8.003259201363091
CDMS-17-10A-ASSAMO,0.0,-0.00023384572566240906,-0.0006461828845725876,0.0,-0.00014909201160992168,6.939439669043958e-05,-0.0014704425598380114,-0.0019665638879829777,7,7.996902198489317
CDMS-18-7C-VVECA,0.0,-0.0003655788392650665,-0.0005729439809132558,0.00016413430992991054,0.0,-6.516982768986027e-05,-0.0010339850931032437,-0.00010407202130724225,8,7.999321315709944
CDMS-8-4A-DBEVA,0.0,-0.0003963280056431686,-0.00041528387692962637,-1.8289852103762008e-05,0.0,-0.0004357868750919404,-0.0008391556848873211,-0.00137480082809097,9,7.997819286039546
CDMS-8-4A-DJAVDA,0.0,-0.0005382230148261831,-0.0006123826709774615,0.00011281646784096795,7.386130699675499e-05,-0.0001585235986457273,-0.0005215060978875078,-0.0012461074379088507,8,7.998408866116884
CDMS-8-4A-DOSTR,0.0,-0.0008067048820024465,-0.0007290286323967397,-1.8590325375805045e-05,0.0,-0.00039241893699913004,-0.0009950184516392218,-0.0011699526910461824,9,7.997187217242833
CDMS-8-4A-LGOPA,0.0,-0.0008041248386568747,-0.0007871645499830877,-2.8418110129452105e-05,0.00013212780655364584,-0.00036807003750886035,-0.0009028372740345469,-0.0013303758926718912,8,7.997210068265861
CDMS-8-4C-JDBUTU,0.0,-0.0007311696218327969,-0.000741396314868552,7.931666434232319e-05,0.0001011163883997728,-9.447723838162855e-05,-0.0007631171895657725,-0.0012788540703267993,6,7.997870349780059
