subject,edges_T6W50,re_T6W50,pe_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50
CSO-10-5A-ARACA,47.30797101449275,4.833333333333333,4.978260869565218,1.315217391304348,0.3079710144927536,0.4963768115942029,32.01086956521739,27.25
CSO-10-5A-DABRZA,48.90925925925926,5.816666666666666,7.227777777777778,0.725925925925926,1.4111111111111112,2.1351851851851853,30.31111111111111,28.035185185185185
CSO-10-5A-GZAMA,48.82897033158813,3.506108202443281,4.383944153577661,0.1710296684118673,0.8778359511343804,1.7399650959860384,33.65095986038394,31.598603839441537
CSO-10-5A-IPECA,49.0,3.4173553719008263,4.095041322314049,0.1735537190082644,0.6776859504132231,2.177685950413223,33.582644628099175,31.1198347107438
CSO-10-5A-JANORO,48.64233576642336,3.0291970802919708,4.427007299270073,0.2591240875912409,1.397810218978102,1.686131386861314,33.75182481751825,31.08029197080292
CSO-10-5A-JBUVE,49.0,3.4838709677419355,4.282258064516129,0.7903225806451613,0.7983870967741935,1.4556451612903225,35.096774193548384,32.00806451612903
CSO-10-5A-JJSEMO,48.774193548387096,4.824884792626728,5.71889400921659,0.2258064516129032,0.8940092165898618,1.3225806451612905,30.53456221198157,28.806451612903224
CSO-10-5A-JLCARI,48.61212121212121,2.987878787878788,3.6666666666666665,0.4424242424242424,0.6787878787878788,0.8363636363636363,34.012121212121215,30.466666666666665
CSO-10-5A-MAARAN,49.0,5.015424164524422,5.652956298200514,0.2519280205655527,0.6375321336760925,2.8123393316195373,30.90745501285347,29.354755784061695
CSO-10-5A-MAOSMO,49.0,2.8159806295399514,3.4624697336561745,0.1186440677966101,0.6464891041162227,0.6610169491525424,35.973365617433416,33.32687651331719
CSO-10-5A-RVMOIB,49.0,2.486935866983373,3.0688836104513064,0.3895486935866983,0.5819477434679335,1.4655581947743468,35.0,32.60807600950119
CSO-10-5A-SVHEES,49.0,3.5469879518072287,4.47710843373494,1.3397590361445784,0.9301204819277108,1.549397590361446,31.734939759036145,29.906024096385543
CSO-11-5A-MDVOSPE,48.85502958579882,4.011834319526627,4.662721893491124,0.2751479289940828,0.650887573964497,1.547337278106509,33.18639053254438,31.16568047337278
CSO-11-5A-MTAGA,49.0,2.941368078175896,3.729641693811075,0.8371335504885994,0.7882736156351792,0.8338762214983714,36.43648208469055,33.153094462540714
CSO-11-6A-CAPAMU,48.07816711590296,2.587601078167116,2.849056603773585,0.706199460916442,0.261455525606469,1.4070080862533694,34.84097035040431,29.71698113207547
CSO-11-6A-DSCACH,49.0,2.7161016949152543,2.9237288135593222,0.2076271186440678,0.2076271186440678,0.6991525423728814,35.74576271186441,33.15677966101695
CSO-11-6A-EROMO,49.0,4.150537634408602,7.150537634408602,0.0,3.0,0.8387096774193549,32.413978494623656,29.940860215053764
CSO-11-6A-FSOVRE,48.74936061381074,4.618925831202046,5.9028132992327365,0.4833759590792839,1.2838874680306904,1.938618925831202,30.46547314578005,28.869565217391305
CSO-11-6B-ANREVA,49.0,3.712609970674487,4.55425219941349,0.2873900293255132,0.841642228739003,1.9178885630498532,32.950146627565985,30.94134897360704
