subject,pe_T2W10,l2_T2W10,diameter_T2W10,asp_T2W10,z_pe_T2W10,z_l3_T2W10,y_true,y_pred
CSO-10-5A-JANORO,0.2157168206600396,0.42090732194387326,-1.752569604753893,0.55171376221825,0.2872216232249555,0.717010076706776,15,15.0
CSO-10-5A-JBUVE,-0.8043844227896186,-0.5168197510669909,-1.8931433566320934,-0.8531980946460019,-0.18470383416028202,-1.3077505407050125,9,9.0
CSO-10-5A-JJSEMO,1.9766077079019488,1.8607992147442396,0.3204707253200265,0.7517642786146029,2.6997210217757615,0.8306370516434219,23,23.0
CSO-10-5A-JLCARI,1.3515532856175185,1.2149279695419808,2.276526152137914,0.8905938873340205,2.5467200515946016,1.1596786537739652,24,24.0
CSO-10-5A-MAARAN,-0.7433680185923839,-0.8139607946707766,-2.0204710899698832,-1.5866984315012347,-1.2403016738510022,-1.1551999914147182,7,7.0
CSO-10-5A-RVMOIB,0.23981958227295852,0.2749404038821583,-1.5282211407998476,0.4388300153918148,0.4470329599002289,0.5675981793526883,15,15.0
CSO-10-5A-SVHEES,-1.2329442882454125,-1.070980917091407,0.012796551617737961,-0.6794799749746809,-1.2054149318789147,-0.3839764394273214,10,10.0
CSO-11-5A-MDVOSPE,-1.298189685763457,-1.2945845716554671,0.4535541760460333,-0.9865892740776812,-1.6571973732847078,-1.7769932712647194,8,8.0
CSO-11-5A-MTAGA,-0.39144365468207665,-0.5264979204900422,1.1013670231644954,-0.5909487340709086,-1.1117611526749007,-1.0407155612465664,12,12.0
CSO-11-6A-CAPAMU,-1.44648013496378,-1.0888081542736494,-2.3942453803294548,-1.4280742892697769,-0.9665945993178262,-1.235797441845512,6,6.0
CSO-11-6A-DSCACH,-2.0065915469718103,-1.874253994379201,-2.5133124577415398,-1.9211928838130645,-2.4088518063392943,-1.8357973107550887,2,2.0
CSO-11-6A-EROMO,-0.5365900330845509,-0.6676254299773331,0.24475549404778996,-0.15035614994983348,-0.2981732553661109,0.8479893743300396,14,14.0
CSO-11-6A-FSOVRE,0.1783910633526502,0.24833159959609763,-1.0450414363385665,-0.220793023708606,1.484183277504397,-0.20507148040597112,15,15.0
CSO-11-6B-ANREVA,0.5859721096910234,0.4806081952991928,-0.8766448018136694,0.7628749064166386,0.9077206919871972,1.579468898419619,18,18.0
CSO-11-6B-DISEMO,-1.6229506887184708,-1.5877175447222545,-3.048250940014437,-2.35547673399823,-2.0802752577777106,-1.8653288347688968,2,2.0
CSO-11-6B-LHFDLACH,0.621667435417764,0.5580914067991826,2.584195650501644,0.8804177123382254,1.4477007719894355,0.34792702295375033,21,21.0
CSO-11-6B-RJGIHE,-1.127528710891902,-0.8989779824781097,-0.5586520813234825,-1.088152446472017,-2.316053112585206,-1.570635666249282,7,7.0
CSO-11-6B-SFLVA,1.1010849694017297,0.9899892473582728,0.2857184270716031,0.33168752075930524,3.522873256601591,1.2086465788074987,22,22.0
CSO-11-6B-VCOMA,1.6532743858808892,1.5174014606948774,3.416828026139077,2.2355040431079742,1.7393360823153767,2.877656001861806,28,28.0
CSO-12-6A-DGISE,-1.81952877597528,-1.909477537126741,0.06726517406627686,-1.3287275147488675,-0.7687255631035625,-1.8008057831118252,7,7.0
CSO-12-6A-FJOVRE,-1.0999605187852572,-0.8633921131952802,-2.131788422826953,-1.0372083310060622,-1.0798235007129888,-0.34782711347345785,8,8.0
CSO-12-6B-GQULO,-0.9783576386414783,-1.0975931636932286,-2.624093087536686,-1.2787793819500108,-0.8640963311411424,-0.7170803970374529,7,7.0
CSO-12-6B-LJHEFE,-2.2289143234532993,-1.9264573990545983,-2.4275149892186882,-2.016324757552634,-1.9435450514101376,-2.0172434793106415,2,2.0
CSO-12-6B-VPAMA,0.8244066890705937,0.7885143337497938,2.4634655513407586,1.6817432536526784,0.7856511414110328,1.896219030775144,23,23.0
