subject,z_pe_T2W20,z_l2_T2W20,z_density_T2W20,z_diameter_T2W20,z_asp_T2W20,y_true,y_pred
CDMS-9-4A-TGAFR,-0.8891112372080476,-0.40281140295664597,-1.8366204449335717,0.08619426600138232,0.03625075848897197,6,12.164024
CDMS-9-4C-SCAMO,-0.6455652697881061,-0.6552587111790962,0.20381784280141177,-0.0630773178736383,0.026210203170775603,10,14.036249
CDMS-9-5A-ABERO,0.2663311958313024,1.1107270177205382,3.5965991719563766,-0.48725776195526005,-0.4148132816950474,22,19.241709
CDMS-9-5A-VVAAR,-1.0625753854115798,-0.34273922983805666,-2.0675538975397734,-1.5233544896443676,-0.14859652423858716,5,10.025303
CDMS-9-5C-JDMADE,-0.8731849524180096,-0.880581853866576,1.0424819552103681,-0.8057805550893171,-1.1010741278330485,15,12.551983
CDMS-9-5C-LVIZAC,-0.9426664311091104,-1.766447679837545,0.15082407728830916,-0.8831029898325603,-0.7876750459671027,6,10.941054
CDMS-9-5C-MLOGO,-1.006115609486897,-0.660258825302123,1.1637285092671705,-1.3067178532282515,-1.103813024838767,5,12.256946
CDMS-9-5C-SCAAG,2.5205825506846096,2.9264672377904235,0.7531722087860099,-0.4385401086807231,-0.04318011093139518,21,20.888624
CDMS-XX-10A-VGILO,-0.580006245613099,-0.5861334775288894,0.2091481027603135,0.11649589474995806,-0.06640017890929995,17,14.2632265
CDMS-XX-5C-MPCAQU,-0.6812329231897977,0.37013713328043535,0.9671103204091376,0.4378069032033277,0.15280229218800923,24,16.416746
CDMS-XX-6B-SPUCA,-0.4305206832885752,-1.730186255137123,0.3647247257232672,-0.002726805369061669,-0.20649449602762943,2,13.164919
CSO-10-4A-KCOMO,-0.597234978357951,-0.47059757041931055,-1.108315291086834,0.049472680409748726,-0.0918338279724122,8,12.951613
CSO-10-4A-LRAVI,0.23532373873392565,1.4711602668762198,-0.05560908031463629,0.0276256701151536,-0.07296916993458968,16,16.775654
CSO-10-4A-LSCAVA,-0.5761217730840065,0.5103969866434703,0.32538895988464395,-1.0799575433731066,-0.07192644055684227,22,14.277903
CSO-10-5A-ACAVA,-0.7191399227778108,-1.5546704295476266,0.2313150005340542,-1.4760759785970048,0.01936356671651218,9,11.670915
CSO-10-5A-ARACA,-0.872315641721089,-0.802568897883095,0.9004292602539055,-1.2898318208058694,-0.9495767304102595,5,12.156259
CSO-10-5A-DABRZA,-0.10120005607605137,0.8319599246978749,0.45359776178995675,-0.6015427255630492,-0.5156202332178729,10,15.237317
CSO-10-5A-GZAMA,-0.12804786046345978,-0.07069883664449081,-0.05350158214568993,0.020996794700623322,0.1801991240183481,20,15.11907
CSO-10-5A-IPECA,-0.4478732811609919,-0.47659181308746285,0.10958772150675422,0.13400001494089667,0.20423925050099806,27,14.693484
CSO-10-5A-JANORO,-0.6183373800913493,-0.29803536097208694,0.3664030440648369,0.4147869920730591,-0.02264875411987105,15,15.012291
CSO-10-5A-JBUVE,0.1481092837651583,2.2060825382868408,0.6117793706258146,-0.48591614691416474,-0.2587799832026146,9,17.391397
CSO-10-5A-JJSEMO,0.2474828958511358,0.7983836921056086,1.1612065982818598,-0.9146504513422643,-0.7578008095423369,23,15.704744
CSO-10-5A-JLCARI,2.7300228344599407,2.8354580214818297,1.5430736497243236,-0.49682611115773234,0.10717774105071953,24,21.889029
