subject,nodes_T6W40,lcc_T6W40,lsc_T6W40,y_true,y_pred
CSO-14-9A-JSMAAL,0.7765691691833634,-1.2379762125051197,0.06685372943991898,2,5.146610037745212
CSO-14-9A-MARJA,0.6433348416164194,-1.0651452840463016,0.2802868172131589,3,5.399639726410326
CSO-14-9A-SORZU,0.07127912384762962,0.7061437888405513,-0.39748650208900904,5,5.921099762226221
CSO-14-9B-ERAGA,-1.6342456006720787,2.5546322928196297,-0.527866131739137,1,5.9336839120354625
CSO-14-9B-MFEGA,-0.8717737811101497,1.319296355710574,-0.10803934043756255,11,5.880646585789911
CSO-15-10A-LJRAGU,0.3756141097797964,-0.48377825218986176,0.16182313900501907,8,5.594822348222003
CSO-15-10A-MAARLO,-0.48365611180372875,0.859481450229105,0.02005737119977879,4,5.937046061252205
CSO-15-10A-SFEGA,-2.1494871502787363,3.35171120250403,-0.7135445398690798,2,6.029842863983262
CSO-15-10B-MEBUAR,0.7582273707206584,-1.2459603928667642,0.014650596604915432,8,5.068080926085859
CSO-15-10B-YVBUAN,0.6574399070515741,-1.0813095695114665,0.17252307914210183,6,5.289816768309259
CSO-15-10C-ALBAHO,0.45884070928454124,-0.7747928401196874,0.13123943890231382,5,5.356450659694217
CSO-15-10C-SSCAMO,0.8168648570479901,-1.3382426635583202,0.30157507893886687,3,5.321360624055586
CSO-15-11C-JETALO,-0.5890130465532776,0.8742942882335124,-0.16898266855275826,5,5.657461924754526
CSO-15-7B-JCRAGA,0.331043237916265,-0.5736682424404962,-0.04928617489776379,8,5.249252172205054
CSO-15-8A-VBMABR,-0.32865328638924446,0.4645463374001074,0.17244205656959227,12,5.8494984592075046
CSO-15-8B-KEPOGO,2.368289826441027,-3.7798380993509797,0.7377600676593999,5,4.867375146376496
CSO-15-9B-ALRIHE,0.9890014696024804,-1.6091471390163132,0.39947435018578503,3,5.3204920323990015
CSO-15-9B-AMSAGO,1.8698788070429946,-2.6405790305889165,0.3757337032747478,15,5.146196831355875
CSO-15-9B-JCAPA,0.5032581002199725,-0.8446958654784942,0.23012169810299182,5,5.42984728447152
CSO-15-9B-KSBEJA,-1.7430419459651376,2.690477312978292,-0.4100926686223586,13,6.078506050017845
CSO-15-9B-RMCHLU,-0.21571081418259275,0.2868001813905226,0.2285434581453356,5,5.840796176980315
CSO-15-9B-SJAGRO,2.8649478243529187,-4.561466553691261,0.6377117961957041,3,4.482356418484412
CSO-16-10A-JEGAHE,-0.012153226705773155,-0.03355387137350554,0.13623016994176088,6,5.631686423489532
CSO-16-10A-MSACO,1.5041394629052987,-2.419858967216179,0.4659263997431039,5,5.091370247059272
CSO-16-10A-SARI,-0.5345207539951824,1.077214589259356,-1.4388604841460575,3,4.644996702745166
CSO-16-10A-SMOUT,1.6094107814824072,-2.5855324454884165,0.2954152575061934,0,4.8604569451272335
CSO-16-10A-YKMUJO,-1.2115096734626867,1.8539645610749782,-0.11507589074315287,5,6.068542348496188
CSO-16-10B-JESUGU,1.7294554998495264,-2.7744559462948026,0.7494067098996295,3,5.245569615081402
CSO-16-10B-LTVIFA,4.731112951213357,-7.498392506327231,0.7512673145863504,10,3.5251511110995266
CSO-16-10B-VVILI,1.2232124959013428,-1.9777428391663123,0.32754556087607567,13,5.114178569238155
CSO-16-10C-ACALGU,0.6694009807866349,-1.0409830649673104,-0.018569971457960088,6,5.151011295988414
CSO-16-10C-MAVAVE,1.9815882067435295,-3.171256357859205,0.2878616753516049,4,4.639356875862979
CSO-16-11A-JAVABO,1.2588996841035156,-2.033906480689233,0.36847565795824494,4,5.134632212999577
CSO-16-11A-JDMUVA,1.8550539932785535,-2.972119845193324,0.5224709232975064,4,4.946568423009785
CSO-16-11A-VZAOR,2.4141865923308776,-3.6851390571762606,-0.7632215270739886,1,3.506989359707678
CSO-16-11B-KRORE,1.0887699940804687,-1.7661604518138545,0.42105982031881145,3,5.284832714212475
CSO-16-11B-LLOZA,2.3258175835956023,-3.7081436182185663,0.6814798721304295,4,4.840317189134515
CSO-16-11B-YAROMO,1.9077415477978417,-3.0550382557998645,0.16482318822569886,4,4.558689831850725
CSO-16-9A-JALEMO,1.1130951820274013,-1.8044428496337535,0.42664908947726005,5,5.276464773497957
CSO-16-9A-JPROSO,1.8798868843697338,-3.011201254054162,0.01110991018619583,0,4.420958892128817
CSO-16-9A-JSMAGU,-0.3510267513273573,0.49975716032320056,0.06619882534803857,9,5.756092585970931
CSO-16-9B-SJPAJI,0.45776865596248467,-0.7731056682939796,0.3628635628091473,7,5.588689902104702
CSO-17-10A-YVGOCA,0.2999860771579594,-0.5247912271467275,0.2905672357899505,13,5.606925437428232
