subject,edges_T2W30,re_T2W30,l1_T2W30,lcc_T2W30,z_l3_T2W30,y_true,y_pred
CSO-12-7B-SSARA,0.15027320727506163,-0.061779379321165825,-0.11890438322307956,-0.07290803405217519,0.003067993358282618,8,8.112792882297793
CSO-12-7B-VHOMA,0.16054164100000387,-0.058035322765385935,-0.0440770648430364,-0.05167790523372727,0.06396827639705488,9,8.283763102815781
CSO-12-8A-YTOME,0.1665693811917597,-0.04021619514622236,0.03854981487890889,0.044637420930593225,0.0598316407056864,10,8.482415540821597
CSO-13-6A-ANASA,-0.08364154741848405,0.125691675834097,-0.14445893699098367,0.016344645348733786,0.07442549757051421,10,8.20140481260475
CSO-13-6B-JETAVE,-0.18004848274488644,-0.042497750844808585,-0.08627707848295996,0.029418783619625924,-0.029290092869855254,5,7.904348856937982
CSO-13-6B-LFMIES,-0.11652790599660556,0.3303759017779293,0.03827868773588523,0.07003140998518473,0.1099666446560545,14,8.645168216419318
CSO-13-6B-LJMAHU,-0.18051820537494617,-0.02245876228503744,0.014109530194157362,0.08919572746623392,0.1782158240252697,10,8.291587592286545
CSO-13-7A-CAPAMU,-0.26154847646667895,-0.15111764992853083,-0.08743960606451472,0.034704537177869935,-0.04411099753552801,3,7.7035312854434865
CSO-13-7A-CDDITR,0.14494791389235542,0.0916238045214406,0.06195646524247839,0.10750242960085152,0.13462438836523102,13,8.753698479883226
CSO-13-7A-JJATFL,-0.1965733337956334,0.0035949271128781646,0.055058636151028455,-0.00499680189303886,0.024254186840085738,6,8.094381092676187
CSO-13-7A-KRAMA,-0.24872273426532715,0.04425406998391417,-0.01287234329793369,0.026207440228390524,-0.021039664331590217,9,8.000870246578327
CSO-13-7A-RXCHLU,0.060734330160741326,-0.1480654076221888,0.07781264312936496,-0.08797527316745937,0.07529203630741488,8,8.19084180706874
CSO-13-7A-YAMEZA,0.13834441894218366,-0.06730431685594504,-0.11461438143681403,-0.030977423459828426,0.040431768121371905,7,8.178923543571841
CSO-13-8A-KIGAGU,0.1371680279308988,-0.028644747570133272,0.042717533178582165,-0.037509450298082905,-0.01531735715662274,7,8.311457484345512
CSO-13-8A-MBUAN,-0.5359808095017705,0.23822144866272502,-0.004768171419672163,0.016106495084791884,-0.22966852182184938,7,7.696953919265093
CSO-13-8A-MGAAN,-0.1896883986824235,-0.0611190154591125,0.11102031355282445,-0.000620141251691083,-0.020372668024321174,10,8.052263568396148
CSO-13-8A-MGAHE,0.1277995054811976,0.009538794651989212,-0.0703644338095955,0.10174436159446319,0.0998775424759723,9,8.481639248654897
CSO-13-8A-MJAGA,0.12492974798860179,-0.01360018837375509,-0.025100712109510176,0.029700679768124655,-0.08198096806441622,6,8.246992037469916
CSO-13-8A-VHODU,-0.1515418804421927,-0.12074864320022395,-0.06432449018949224,0.03167137719036162,-0.032611179092425634,8,7.875488662526893
CSO-13-8B-FCJISA,-0.14947661418243818,-0.19166401128341182,-0.07023540986934276,-0.1108729491151962,-0.027539871592815738,3,7.663254622217666
CSO-13-8B-JEMABE,-0.13289042712463234,-0.044276484327918045,-0.07892235395484168,-0.18657432867374102,-0.19720149520476388,5,7.573178388974967
CSO-13-9B-DMLLLU,-0.6022908800387339,0.052225669862878465,-0.14153268398810526,-0.055358520357738895,0.046528861141784415,7,7.512615924880953
CSO-14-7B-EVEGO,0.14906513745281816,-0.062159162272403604,-0.1317899244300854,-0.03351549916286106,0.04289530431368199,8,8.177539334162022
CSO-14-8A-AQUMA,-0.19881093812305026,-0.03217717501945306,0.07087456130948082,0.0487339688772029,0.014054700092640576,8,8.115718595397691
CSO-14-8A-SZARA,-0.1149175349526817,-0.016792625005980166,0.1353666417657352,0.1445599519049448,0.0421737884449188,11,8.403433700417807
CSO-14-8B-JLLORA,0.15407595608861374,-0.00042200669897707045,0.02597420787001429,0.08947923116502166,0.05747463114117621,11,8.539625497826718
CSO-14-9A-AEDCAGO,-0.29434415340154724,-0.14786456253400249,-0.15233288302164263,-0.15963366426379416,0.03967221494223682,4,7.498540429982118
CSO-14-9A-HASACA,-0.03377409582023568,0.09341660430107983,0.09722332738463563,0.08717907474558398,0.14485700357556128,11,8.601945392447494
CSO-14-9A-JSMAAL,0.1630770817801702,0.2093517967795862,0.10176839089645488,-0.02465616047208527,-0.008426619045335728,9,8.65415796819966
CSO-14-9A-MARJA,0.14680034686801877,-0.048284481513956534,0.1822940012726151,0.10052233747344172,0.04314772797016449,8,8.637523410331157
CSO-14-9A-SORZU,-0.10851041945642682,0.07539546800176918,0.02886891673392473,-0.04322901024343427,0.029919904046168337,10,8.19548833734287
CSO-14-9B-ERAGA,0.10789277206098821,-0.04310524767280729,-0.024267117870509308,0.02659911029764856,-0.2289932018153501,6,8.05116979326084
CSO-14-9B-MFEGA,0.17712159305460992,-0.05825942323132869,-0.0008860744423119921,0.0004081754582383372,0.07710431835655927,9,8.408532067456639
CSO-15-10A-LJRAGU,-0.27454974100635254,0.1983414034191097,0.022387665575458935,-0.08630492089925777,-0.029777502635269005,7,8.043140382714563
