subject,edges_T2W40,re_T2W40,l1_T2W40,l3_T2W40,lsc_T2W40,y_true,y_pred
CSO-14-8A-AQUMA,-0.2215975296228619,-0.04422602313049213,0.03941641896689562,0.04207357452136826,-0.15379491164299572,8,7.887096754317133
CSO-14-8A-SZARA,-0.16582100508865572,0.009860481258680774,0.061663564970794185,0.19355818581754686,0.070061809297775,11,8.394548261481361
CSO-14-8B-JLLORA,0.16640051953937318,0.05118224729904877,0.11173411054539191,0.05372587514950246,0.06810506211808771,11,8.676373039876625
CSO-14-9A-AEDCAGO,-0.38725007620559937,-0.006496923142443737,-0.11763934932517604,-0.01135855551717675,-0.09314277496573198,4,7.609337546069091
CSO-14-9A-HASACA,-0.011910980866267915,0.14742790045705764,0.08029595244212542,0.03317717585765529,0.08401378461073863,11,8.558229057726528
CSO-14-9A-JSMAAL,0.16681702024333508,0.05512485533099729,0.06624322837051369,0.03127649617890225,0.029806841513215086,9,8.57449366686218
CSO-14-9A-MARJA,0.14935197007310622,-0.10737153103150907,0.07096866063851975,0.006255484237763854,0.01949952974931524,8,8.36392933889241
CSO-14-9A-SORZU,-0.17057183821617866,0.05550680729042888,0.03021421845088892,-0.004604628093857725,-0.08695924853670665,10,8.048810536119795
CSO-14-9B-ERAGA,0.11956529512496648,-0.07663886801656547,-0.018899381806874224,-0.2515665947653988,0.0226135043910717,6,8.02029918015242
CSO-14-9B-MFEGA,0.16006841206256156,-0.10503240838023868,-0.0626047931809176,0.016239719858473008,0.036711312008472316,9,8.270607467593573
CSO-15-10A-LJRAGU,-0.32170407410210866,0.16110198555265962,-0.00937682726960648,-0.03745503504422581,-0.13579475359027912,7,7.881996520771658
CSO-15-10A-MAARLO,-0.1950983620338973,-0.035535157639724535,0.08274808209369769,-0.004610124804724839,-0.004788808798521707,10,8.067940854042046
CSO-15-10A-SFEGA,-0.28904961286528746,0.028331808289265268,0.09064194355916882,0.08252736961006496,0.20770376138929583,9,8.345380495207726
CSO-15-10B-MEBUAR,0.09042606071276459,-0.11275757554908167,0.003239939223615641,0.04668120893843543,-0.10225067932498981,8,8.150564179225963
CSO-15-10B-YVBUAN,0.16556535204293063,0.011012987774558912,0.17466505662272794,0.025359555185233744,0.036856019679571195,9,8.63868419653024
CSO-15-10C-SSCAMO,0.1047296493019768,0.015772515271667967,-0.05883055935729791,-0.2860375781150464,0.03508725074440684,9,8.035946503070928
CSO-15-11C-JETALO,0.10648327509485149,-0.028237796460106938,0.03545763091175595,-0.24346032427339664,0.015837364974823118,8,8.111305375473147
CSO-15-7B-JCRAGA,0.1810745494024381,0.45648489080352755,0.025468199798007313,0.046168132021462964,0.10552931385820516,12,9.039950311108859
CSO-15-8A-VBMABR,0.16563103206066968,0.08269937709868493,0.06582049203179205,0.043957693319477104,0.08910485386028594,11,8.67243867359613
CSO-15-8B-KEPOGO,0.13649470348960727,-0.1394006885665937,-0.1269466444492462,-0.00856721789724817,-0.05542982041311974,5,8.03137555738862
CSO-15-9B-ALRIHE,0.15935334607020826,-0.06639949586859878,0.06873509025883386,0.011571185846899397,-0.04558960353380129,7,8.352895747998756
CSO-15-9B-AMSAGO,0.12349539430990764,0.1101067916150778,0.003471611014693756,-0.01347499837987622,0.08436425428224217,11,8.533188278067264
CSO-15-9B-JCAPA,-0.08375168990174299,0.05776952705393276,0.0362417944838383,0.028789240432272337,0.010547122258651617,9,8.274821219552173
CSO-15-9B-KSBEJA,-0.24843118124759478,0.008085535299682223,0.05839887876554723,0.14408293745373607,0.06138462307801294,11,8.248746018574604
CSO-15-9B-RMCHLU,0.1237907323924359,-0.11463529755030835,-0.0691207129237321,-0.030238301635240595,-0.03654613199023819,7,8.09847551351814
CSO-16-10A-MSACO,0.09524626017460124,0.05302459485930411,0.06265935697500015,-0.24437763308365293,-0.07696045341917772,9,8.114817350731297
CSO-16-10A-YKMUJO,0.11343366555226746,0.002737114294698092,-0.08758968722388233,-0.049571750703700325,-0.008134897330970956,7,8.19609966981363
CSO-16-10B-JESUGU,-0.10605448214862372,0.08416470023160945,-0.0021538015833268967,-0.017654060840687553,0.012957150460976372,6,8.19648473134517
CSO-16-10B-LTVIFA,0.11852045063423557,0.0508975497755141,-0.060978660024855545,0.02808815663309524,0.1937912351302579,7,8.55554395737347
CSO-16-10B-VVILI,0.15955017837086433,0.1561489614763716,0.12398133068754083,0.08105588013248267,0.1768084439449742,11,8.922770019837449
CSO-16-10C-ACALGU,-0.23596663666338405,-0.0003127998220148461,-0.028385531497473176,0.24204634257576751,0.08722937085908987,12,8.289835970677206
CSO-16-10C-MAVAVE,0.12855501128725239,-0.047143142327438894,-0.096063134567009,0.008710249848618089,-0.07795570289856618,9,8.14132850656808
