subject,nodes_T6W50,edges_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,atd_T6W50,density_T6W50,diameter_T6W50,asp_T6W50,y_true,y_pred
CSO-11-6B-DISEMO,-0.0013901409742419516,0.0,0.0,0.0,0.0,-0.0015710665903933927,0.0011576881208148011,0.0,0.0,-0.00033648223313917,0.0,0,5.000048626890971
CSO-11-6B-LHFDLACH,-0.0001989063652166526,0.0,0.0,0.0,0.0,-0.00041921517957704314,0.0014474960562233532,0.0,0.0,-0.0004593976469416267,0.0,7,5.0025586054324185
CSO-11-6B-RJGIHE,0.0007131831672968458,0.0,0.0,0.0,0.0,0.0007298429150767583,0.0005463285392119021,0.0,0.0,0.00023998085174964162,0.0,3,5.004417964041266
CSO-11-6B-SFLVA,0.0007593026966451423,0.0,-0.0008361977363483987,0.0,0.0,0.0010569178409267099,0.0007951524317613201,0.0,0.0,0.00020519077652379801,0.0,8,5.004168994577439
CSO-11-6B-VCOMA,-0.0005959539754834628,0.0,0.0,0.0,0.0,-0.0008497230429170746,-0.0004089732819863403,0.0,0.0,-0.000271389366406156,0.0,14,5.000062588901137
CSO-12-6A-DGISE,0.0004797175135050272,0.0,-0.001171747152952854,0.0,0.0,0.00044220798459810353,0.0014143158018183456,0.0,0.0,-0.0003224935058925317,0.0,2,5.0030306292090065
CSO-12-6A-FJOVRE,0.0012044779501240938,0.0,0.0,0.0,0.0,0.0013929906686190596,0.0013448811640406793,0.0,0.0,0.00040436792548672034,0.0,1,5.006535346276201
CSO-12-6B-GQULO,0.0009588938423957973,0.0,-0.0005207896064469216,0.0,0.0,0.0010290183704746662,0.0011044664178419216,0.0,0.0,0.0,0.0,4,5.004760217592196
CSO-12-6B-LJHEFE,-0.0018542596502451002,0.0,0.0,0.0,-7.785020170581088e-05,-0.0021303462893413434,-0.0021933519514470874,0.0,0.0,-0.0005022201905465078,-9.093003321205013e-05,2,4.9953396702514326
CSO-12-6B-VPAMA,0.0005862573830882456,-0.000355530460692757,0.0,0.0,0.0,0.0007189694438905994,-0.0008367357093786198,0.0,0.0,0.0,0.0,9,5.002301589224838
CSO-12-7A-DALRE,0.0004199002699280659,0.0,0.0,0.0,0.0,0.0007845914089458589,0.0003175407293326931,0.0,0.0,0.00022433135499763278,0.0,8,5.003934992331135
CSO-12-7A-ESALA,0.0012168045454060195,0.0,0.00029050845566722653,6.231144435256668e-05,0.0,0.001442094735606329,0.0011515430811187063,0.0,0.0,0.00037147804319794035,6.630794268441329e-05,7,5.006789676815964
CSO-12-7A-IMERO,0.0,0.0,0.0,0.0,0.0,-0.0002471500239670623,0.0,0.0,0.0,-0.0003789978798123992,0.0,9,5.001562480664151
CSO-12-7A-JHEZA,-0.0013543784992368568,0.0,-0.00015857219238801898,0.0,0.0,-0.0012679279611346869,0.0013460163231794385,0.0,0.0,-0.0002862921732658101,0.0,9,5.0004674740650845
CSO-12-7A-LSARAR,0.0009266564105474093,0.0,0.0002385897830300784,0.0,9.93726181756877e-05,0.0012225495440937684,0.0009366638116073354,0.0,0.0,0.00035170610725274274,5.3313904229670885e-05,6,5.006017480746867
CSO-12-7A-SCAHO,0.0007878144424092578,0.0,0.0003070923033538328,4.0240215442128094e-05,7.998375452571274e-05,0.0007841241079469765,0.0008154907794903668,0.0,0.0,0.00010271899837479918,0.0,1,5.0051060931694735
CSO-12-7B-DVAGRO,-0.0012508860594496523,0.0,-0.00026748133141078767,0.0,0.0,-0.001511304380656124,0.00038085195159374323,0.0,0.0,0.0,0.0,8,4.999539808748008
CSO-12-7B-SMUGU,0.00022914529245418125,0.0,0.0,0.0,0.0,0.00010353217777848934,0.00044784798772159134,0.0,0.0,0.0,0.0,4,5.002969154025885
CSO-12-7B-SSARA,-0.0018169673390322743,0.0,-0.00017270663298511887,-6.172655817360522e-05,-6.502102020977819e-05,-0.0020977913965291844,-0.002159196790313595,0.0,0.0,-0.0004871673602958024,-8.256397581511662e-05,2,4.995245487494576
CSO-12-7B-VHOMA,-0.0019994204022469983,0.0,-9.294761973552191e-05,-4.454666036802883e-05,-8.698363329785553e-05,-0.002185087376283876,-0.002037512039127308,0.0,0.0,-0.0004911113094675179,-8.902889247329405e-05,8,4.99516199063493
CSO-12-8A-YTOME,0.0002622303100512335,0.0,0.00031043290250875276,0.0,0.0,0.0,-0.0009498553156163364,0.0,0.0,0.00033480706549752717,0.0,13,5.002146243530372
