subject,nodes_T6W50,edges_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,atd_T6W50,density_T6W50,diameter_T6W50,asp_T6W50
CDMS-XX-6A-MAGICA,34.823691460055095,48.8801652892562,0.1349862258953168,0.6487603305785123,1.0206611570247934,34.82231404958678,32.16528925619835,2.819865755559892,0.0780726665452242,8.735537190082646,3.8424654768427744
CDMS-XX-6B-SPUCA,34.32059447983015,49.0,0.1040339702760085,1.6263269639065818,1.394904458598726,34.32059447983015,32.074309978768575,2.883039044262425,0.0785899941587622,8.575371549893843,3.761797713571197
CSO-10-4A-ICAPA,31.309859154929576,48.8849765258216,0.2300469483568075,1.295774647887324,1.9530516431924885,31.309859154929576,29.112676056338028,3.1402975827584902,0.0913987194449491,7.55868544600939,3.3680552473606
CSO-10-4A-KCOMO,30.45553145336225,49.0,0.7093275488069414,1.7483731019522777,1.572668112798265,30.45553145336225,28.19305856832972,3.275116779708924,0.0961808154006095,7.394793926247289,3.3231042034576364
CSO-10-4A-LRAVI,28.492957746478872,48.73943661971831,0.0,1.971830985915493,3.126760563380281,28.47183098591549,26.823943661971832,3.442289147744454,0.1062506137831728,6.267605633802817,2.916646443319916
CSO-10-4A-LSCAVA,35.092664092664094,49.0,0.1891891891891892,1.7374517374517375,1.0694980694980696,35.092664092664094,31.08880308880309,2.8105051459467973,0.0727267317355999,10.054054054054054,4.332276775024171
CSO-10-5A-ACAVA,34.90588235294118,49.0,1.423529411764706,0.6352941176470588,1.2509803921568627,34.90588235294118,31.933333333333334,2.832418862582683,0.076425546040786,9.125490196078433,4.028568407042851
CSO-10-5A-ARACA,32.5,47.30797101449275,1.315217391304348,0.3079710144927536,0.4963768115942029,32.01086956521739,27.25,2.924598976810943,0.0807753950604844,8.55072463768116,3.766556842233256
CSO-10-5A-DABRZA,30.31111111111111,48.90925925925926,0.725925925925926,1.4111111111111112,2.1351851851851853,30.31111111111111,28.035185185185185,3.309822169540449,0.097282525021971,8.207407407407407,3.5758315645162067
CSO-10-5A-GZAMA,33.65619546247819,48.82897033158813,0.1710296684118673,0.8778359511343804,1.7399650959860384,33.65095986038394,31.598603839441537,2.935784303048837,0.0827504105356257,7.961605584642234,3.629255977647088
CSO-10-5A-IPECA,33.582644628099175,49.0,0.1735537190082644,0.6776859504132231,2.177685950413223,33.582644628099175,31.1198347107438,2.939750311207296,0.0830643258841218,7.760330578512397,3.55776507153872
CSO-10-5A-JANORO,33.802919708029194,48.64233576642336,0.2591240875912409,1.397810218978102,1.686131386861314,33.75182481751825,31.08029197080292,2.892895458289366,0.0800973933738599,7.978102189781022,3.5992889062687548
CSO-10-5A-JBUVE,35.096774193548384,49.0,0.7903225806451613,0.7983870967741935,1.4556451612903225,35.096774193548384,32.00806451612903,2.807273745325145,0.0743002049819753,9.084677419354838,4.048184422611873
CSO-10-5A-JJSEMO,30.53456221198157,48.774193548387096,0.2258064516129032,0.8940092165898618,1.3225806451612905,30.53456221198157,28.806451612903224,3.213375882328218,0.0964390079297331,6.783410138248848,3.1677634114484907
