subject,lsc_T6W50,diameter_T6W50,asp_T6W50,z_re_T6W50,z_pe_T6W50,z_l1_T6W50,z_l2_T6W50,z_l3_T6W50,z_lsc_T6W50,z_density_T6W50,z_diameter_T6W50,z_asp_T6W50
CDMS-9-4A-ILOSE,30.296195652173918,7.771739130434782,3.5135995968607654,4.970303090604344,-1.0461502578073127,-1.2982226698836925,-1.1713784226755524,1.6303472558177952,-0.0219606381954036,-1.0156227069232913,0.429466224623982,0.8336864094753204
CDMS-9-4A-TGAFR,28.899253731343283,6.708955223880597,3.169928671381543,4.607880254183176,-0.0979997686765458,-1.204757618814241,-0.6248079060061853,1.859728508027319,-0.0897445581128855,-1.5452380122579872,0.1897031866376758,0.595027831382185
CDMS-9-4C-SCAMO,34.32057416267943,10.052631578947368,4.369482159881827,3.632663648811646,-0.58291705981355,-0.4577402711171958,-0.5867371721226481,-0.0988132003223135,0.0231350365405646,-0.5676794319798093,0.1557330570654828,0.3601864165661876
CDMS-9-5A-ABERO,29.65062761506276,8.338912133891213,3.705236360986397,5.100146326004684,0.4239962388203003,-0.0650870506638948,-0.2448274422309874,-0.3703162179805385,-0.388358208749308,-2.297279037054552,0.9231933064496952,1.6060479211218428
CDMS-9-5A-PAGACO,31.03,7.976666666666667,3.637121020964035,3.568762437924892,-0.0340941857140754,-0.4013103068926403,-0.2301056537291392,-0.0404281425491826,-0.1438163355315162,-1.378850577199732,0.6330537059690833,1.3301212253338692
CDMS-9-5A-VVAAR,29.405940594059405,7.173267326732673,3.2930195236332724,3.572953448816928,-0.0676085823085138,-0.8411360812990117,-0.2647702565523269,0.0939726335966607,-0.0917904029488165,-1.498767387041088,0.3910600934772854,0.7736917397560481
CDMS-9-5C-JDMADE,28.137614678899084,11.022935779816514,4.607581105158729,4.996297626245621,0.7437833934141919,1.4996085411573088,0.028362673809454,-0.6302117605581093,-0.914965901962684,-3.24037213867501,1.9220959158403168,3.261499855116188
CDMS-9-5C-LVIZAC,31.648793565683647,9.152815013404826,3.904148291752638,4.464816811232401,-0.3444420307081707,-0.4892918025829514,-0.5006271677545789,2.216998035888719,-0.390265956994591,-1.4799800523306654,1.1305351625069462,1.4578208640638384
CDMS-9-5C-MLOGO,29.33333333333333,7.801223241590214,3.4669047536109896,4.057568526236087,-0.7795706729001285,-0.2985484073423992,-1.0519001053342467,2.27643139257252,-0.2793912755988004,-1.2153609093966853,0.9618609265674288,1.3201217042986455
CDMS-9-5C-SCAAG,30.50175438596491,8.821052631578947,3.804718980142825,3.784624577788034,-0.3701757059074737,-0.5531998578491152,-0.5180769627908579,0.6235958653441044,-0.1438097747598937,-1.1568223258020651,0.6864155940636842,0.880478436772284
CDMS-XX-10A-VGILO,31.02947368421053,8.532631578947369,3.843009449778126,3.780467313820892,-0.95022200418681,0.7222827292277179,-0.9573517999310528,-0.2254143029749205,-0.2579843601929877,-1.4818235915214422,0.3820434860019251,0.9633436011342928
CDMS-XX-5C-MJSARU,31.945121951219512,8.24390243902439,3.716342708430496,2.6357054493341936,0.3727604350113542,-0.7765527063947536,0.2249578860792285,0.1075430946520538,-0.1016146977295663,-0.8942322641377329,0.2023847797708388,0.5361109954101354
CDMS-XX-5C-MPCAQU,30.02430555555556,7.635416666666667,3.446159469280745,4.04381500718158,-0.6668885386426062,-1.1896065169653935,-0.8548173596763375,1.5468575734850751,-0.2091170296664849,-0.7595290801855467,0.4324853487063564,0.7330302359521143
CDMS-XX-6A-MAGICA,32.12619047619047,8.678571428571429,3.823727896702021,3.734542330495356,-0.3694367964216065,-0.8589997257317491,-0.5448350242077714,0.1228009660104248,-0.0866364514857453,-0.6922407101746051,0.4194489664630373,0.6740954460762879
CDMS-XX-6B-SPUCA,32.26791277258567,8.571651090342678,3.777629552880438,2.9908986319318736,1.4177711070417784,-1.0861635722351572,0.2924877386371362,-0.0486024902059394,0.0525394009295416,-1.082309923236232,0.3887181161034301,0.6738126137167136
CSO-10-4A-ICAPA,29.50101419878296,7.661257606490873,3.3743786962078763,3.9178306374056624,0.0330502677353583,-1.114579750783682,-0.5123132521441675,-0.1649765685041728,-0.2386673608695854,-1.1370463259384629,0.6791352972794749,0.978877077967068
